t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778478113.512333,0.233488,-0.138844,0.496587,1,1.6764,1.7967,0.017488,0.014655,0.018587,0.001,1.3599,0.3155,2,0.15774,0.2575,0.2575,152448,0
1778478117.731935,0.234157,-0.141821,0.497683,1,0.4091,0.5988,0.000771,-0.002768,0.000984,0.0008,0.1431,0.2652,1,0.26519,0.2257,0.2257,152456,0
1778478117.772133,0.234682,-0.143347,0.498082,1,1.6765,1.8853,0.001295,-0.004294,0.001383,0.0009,0.1883,1.4872,1,1.48724,0.1885,0.1885,152468,0
1778478117.812299,0.234975,-0.144198,0.498233,1,0.4759,0.667,0.001588,-0.005145,0.001534,0.0009,0.1512,0.3238,1,0.32384,0.1796,0.1796,152476,0
1778478117.852498,0.235099,-0.144587,0.498231,1,0.489,0.6837,0.001712,-0.005534,0.001533,0.001,0.219,0.2691,1,0.2691,0.1774,0.1774,152476,0
1778478117.892677,0.235268,-0.144951,0.498201,1,0.4522,0.6712,0.001882,-0.005898,0.001503,0.0009,0.1581,0.2931,1,0.29314,0.1724,0.1724,152476,0
1778478117.933649,0.235474,-0.145285,0.498159,1,0.3885,0.5697,0.002087,-0.006232,0.00146,0.0006,0.143,0.2449,1,0.24491,0.1665,0.1665,152476,0
1778478117.973841,0.235595,-0.145426,0.498007,1,0.4175,0.6065,0.002209,-0.006373,0.001309,0.0007,0.151,0.2658,1,0.26579,0.1643,0.1643,152476,0
1778478118.014012,0.235656,-0.145466,0.497762,1,0.4149,0.6052,0.002269,-0.006413,0.001064,0.0007,0.1561,0.258,1,0.25804,0.1649,0.1649,152476,0
1778478118.054245,0.235697,-0.14552,0.49751,1,0.4393,0.6532,0.002311,-0.006467,0.000811,0.0007,0.1468,0.2918,1,0.29175,0.1654,0.1654,152476,0
1778478118.094531,0.235736,-0.145621,0.497297,1,0.5159,0.7559,0.002349,-0.006568,0.000598,0.0011,0.1649,0.3499,1,0.34988,0.1652,0.1652,152476,0
