x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,0.05,0.35,0.0,0.0,0.0,0,116.973,1750,97.73,-1
-0.2,0.05,0.45,0.0,0.0,0.0,0,33.534,1750,100.4,-1
-0.2,0.05,0.55,0.0,0.0,0.0,0,11.705,1750,105.36,-1
-0.2,0.05,0.65,0.0,0.0,0.0,0,11.695,1750,105.86,-1
-0.2,0.05,0.75,0.0,0.0,0.0,0,11.683,1750,98.82,-1
-0.2,0.05,0.85,0.0,0.0,0.0,0,11.672,1750,97.39,-1
-0.2,0.15,0.35,0.0,0.0,0.0,0,159.686,1750,104.27,-1
-0.2,0.15,0.45,0.0,0.0,0.0,0,110.477,1750,103.6,-1
-0.2,0.15,0.55,0.0,0.0,0.0,0,104.966,1750,102.67,-1
-0.2,0.15,0.65,0.0,0.0,0.0,0,104.96,1750,101.59,-1
-0.2,0.15,0.75,0.0,0.0,0.0,0,104.983,1750,96.93,-1
-0.2,0.15,0.85,0.0,0.0,0.0,0,105.005,1750,97.4,-1
-0.2,0.25,0.35,0.0,0.0,0.0,0,234.377,1750,102.57,-1
-0.2,0.25,0.45,0.0,0.0,0.0,0,202.693,1750,102.03,-1
-0.2,0.25,0.55,0.0,0.0,0.0,0,199.164,1750,101.62,-1
-0.2,0.25,0.65,0.0,0.0,0.0,0,199.157,1750,101.64,-1
-0.2,0.25,0.75,0.0,0.0,0.0,0,199.181,1750,101.37,-1
-0.2,0.25,0.85,0.0,0.0,0.0,0,199.204,1750,97.94,-1
-0.2,0.35,0.35,0.0,0.0,0.0,0,320.273,1750,100.34,-1
-0.2,0.35,0.45,0.0,0.0,0.0,0,590.704,1750,106.26,-1
-0.2,0.35,0.55,0.0,0.0,0.0,0,294.108,1750,103.01,-1
-0.2,0.35,0.65,0.0,0.0,0.0,0,446.836,1750,103.67,-1
-0.2,0.35,0.75,0.0,0.0,0.0,0,294.123,1750,99.01,-1
-0.2,0.35,0.85,0.0,0.0,0.0,0,294.145,1750,100.53,-1
-0.2,0.45,0.35,0.0,0.0,0.0,0,647.502,1750,104.89,-1
-0.2,0.45,0.45,0.0,0.0,0.0,0,630.219,1750,101.39,-1
-0.2,0.45,0.55,0.0,0.0,0.0,0,389.698,1750,103.16,-1
-0.2,0.45,0.65,0.0,0.0,0.0,0,509.903,1750,104.24,-1
-0.2,0.45,0.75,0.0,0.0,0.0,0,389.712,1750,99.95,-1
-0.2,0.45,0.85,0.0,0.0,0.0,0,389.733,1750,102.53,-1
-0.1,0.05,0.35,0.0,0.0,0.0,0,117.447,1750,98.29,-1
-0.1,0.05,0.45,0.0,0.0,0.0,0,33.807,1750,101.85,-1
-0.1,0.05,0.55,0.0,0.0,0.0,0,11.786,1750,100.54,-1
-0.1,0.05,0.65,0.0,0.0,0.0,0,11.81,1750,100.46,-1
-0.1,0.05,0.75,0.0,0.0,0.0,0,11.814,1750,96.48,-1
