t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778557254.899774,0.212617,-0.144811,0.470932,1,14.1866,15.1742,-0.003383,0.008688,-0.007069,8.5108,2.2431,3.4327,25,0.13731,0.1648,0.1648,153924,0
1778557254.949912,0.213652,-0.136108,0.458689,1,11.5976,11.7751,-0.002348,0.017391,-0.019311,9.8297,0.0953,1.6726,25,0.06691,0.1899,0.1899,156988,0
1778557255.000004,0.214194,-0.134399,0.456221,1,5.89,6.0674,-0.001806,0.019101,-0.021779,4.7649,0.0786,1.0464,25,0.04186,0.1921,0.1921,160048,0
1778557255.050145,0.214168,-0.133111,0.45525,1,14.9602,18.1589,-0.001832,0.020388,-0.02275,12.3029,0.1536,2.5036,25,0.10014,0.1943,0.1943,163092,0
1778557255.100254,0.213773,-0.131939,0.454489,1,14.4224,14.7959,-0.002227,0.02156,-0.023512,11.3515,0.1626,2.9082,25,0.11633,0.1991,0.1991,166140,0
1778557255.150361,0.212825,-0.13101,0.453757,1,16.9047,17.1204,-0.003175,0.022489,-0.024243,12.2855,0.1485,4.4707,25,0.17883,0.2015,0.2015,169192,0
1778557255.200451,0.212623,-0.130893,0.453757,1,15.2353,17.0812,-0.003377,0.022606,-0.024243,13.0814,0.1393,2.0146,25,0.08058,0.2058,0.2058,172236,0
1778557255.250557,0.212587,-0.131091,0.453809,1,13.6834,14.6897,-0.003413,0.022409,-0.024192,11.5216,0.1373,2.0245,25,0.08098,0.207,0.207,175292,0
1778557255.300728,0.212586,-0.131402,0.454019,1,13.2178,13.4533,-0.003414,0.022097,-0.023982,10.4372,0.1392,2.6414,25,0.10566,0.2092,0.2092,178320,0
1778557255.350818,0.212421,-0.132441,0.455253,1,13.5601,13.769,-0.003579,0.021058,-0.022748,11.2027,0.1231,2.2343,25,0.08937,0.2049,0.2049,181364,0
