run,seed_idx,dt,target_x,target_y,target_z,success,pos_err_mm,robot_ms,setup_ms,loop_ms,solve_ms,iterations,iter_ms,cpu_time_ms,mem_kb,j1,j2,j3,j4,j5,j6,j7
1,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.886,0.047,0.142,5.075,1,0.14203,0.0,115152,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
2,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.004,0.04,0.126,5.17,1,0.12574,10.0,118196,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
3,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.691,0.051,0.158,4.9,1,0.15772,0.0,121244,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
4,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.977,0.045,0.131,5.154,1,0.13135,0.0,124284,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
5,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.724,0.055,0.158,4.937,1,0.15797,10.0,127328,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
6,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.914,0.039,0.122,5.075,1,0.12227,0.0,130368,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
7,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.912,0.039,0.124,5.075,1,0.124,10.0,133420,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
8,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.87,0.044,0.138,5.052,1,0.13814,10.0,136456,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
9,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.693,0.047,0.152,4.892,1,0.15162,10.0,139496,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
10,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.092,0.052,0.14,5.284,1,0.1403,0.0,142536,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
11,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.959,0.055,0.17,5.183,1,0.16961,10.0,145572,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
12,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.291,0.049,0.141,5.481,1,0.14067,0.0,148620,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
13,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.568,0.041,0.128,4.736,1,0.12787,0.0,151660,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
14,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.91,0.048,0.15,5.108,1,0.1503,10.0,154708,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
15,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.964,0.041,0.132,5.136,1,0.13165,0.0,157760,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
16,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.219,0.056,0.15,5.424,1,0.14991,10.0,160796,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
17,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.763,0.037,0.119,4.919,1,0.11919,0.0,163840,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
18,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.82,0.049,0.152,5.021,1,0.15185,0.0,166888,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
19,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.908,0.037,0.118,5.063,1,0.11799,10.0,169932,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
20,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.226,0.045,0.152,5.422,1,0.1519,10.0,172972,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
21,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.019,0.039,0.119,5.178,1,0.11913,10.0,176016,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
22,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.912,0.05,0.22,5.182,1,0.21978,0.0,179056,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
23,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.046,0.043,0.133,5.222,1,0.13268,0.0,182104,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
24,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.873,0.052,0.151,5.076,1,0.15147,10.0,185148,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
25,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.046,0.043,0.136,5.226,1,0.13616,10.0,188188,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
26,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.762,0.047,0.156,4.965,1,0.1557,0.0,191228,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
27,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.878,0.038,0.124,5.04,1,0.12369,10.0,194268,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
28,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.941,0.043,0.135,5.119,1,0.13507,0.0,197312,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
29,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.921,0.038,0.119,5.078,1,0.11904,10.0,200356,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
30,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.8,0.046,0.141,4.987,1,0.14111,0.0,203412,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
31,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.302,0.043,0.132,5.478,1,0.13238,10.0,206452,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
32,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.903,0.039,0.126,5.068,1,0.12582,0.0,209488,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
33,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.775,0.04,0.127,4.941,1,0.12695,0.0,212536,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
