t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778498834.050274,0.216,-0.295227,0.529734,1,1.5915,1.7999,0.210955,-0.297218,0.535645,0.0012,1.1072,0.4831,1,0.48309,0.0,0.0,117884,0
1778498834.100398,0.216654,-0.29491,0.529944,1,0.4248,1.1442,0.211609,-0.296901,0.535855,0.0008,0.1409,0.2831,1,0.28307,0.0048,0.0048,117908,0
1778498834.150492,0.21727,-0.294677,0.530404,1,0.5817,1.399,0.212225,-0.296669,0.536315,0.0006,0.1336,0.4476,1,0.44757,0.0088,0.0088,117912,0
1778498834.20118,0.217263,-0.294878,0.530702,1,0.4256,2.8206,0.212218,-0.29687,0.536613,0.0008,0.1575,0.2673,1,0.26728,0.0075,0.0075,117912,0
1778498834.2514,0.217205,-0.295177,0.530963,1,0.4312,0.6147,0.21216,-0.297169,0.536873,0.0008,0.153,0.2774,1,0.2774,0.0068,0.0068,117912,0
1778498834.301674,0.217259,-0.29569,0.531117,1,0.4461,0.6546,0.212214,-0.297682,0.537027,0.0017,0.17,0.2743,1,0.27428,0.0068,0.0068,117916,0
1778498834.351846,0.217494,-0.296147,0.531004,1,0.3975,0.5812,0.212449,-0.298138,0.536915,0.0006,0.146,0.251,1,0.25097,0.0091,0.0091,117916,0
1778498834.401914,0.217547,-0.296106,0.530914,1,0.4748,0.6692,0.212502,-0.298098,0.536825,0.0006,0.1656,0.3085,1,0.30853,0.0088,0.0088,117916,0
1778498834.452012,0.217514,-0.295872,0.530817,1,0.4512,0.6374,0.212469,-0.297863,0.536727,0.0011,0.1625,0.2876,1,0.28757,0.0086,0.0086,117932,0
1778498834.502312,0.217539,-0.295546,0.530595,1,0.4954,0.6911,0.212495,-0.297538,0.536505,0.0009,0.1787,0.3159,1,0.3159,0.0092,0.0092,117936,0
1778498834.55244,0.217492,-0.294801,0.529826,1,0.4091,0.588,0.212447,-0.296792,0.535736,0.0008,0.1481,0.2602,1,0.26017,0.012,0.012,117940,0
1778498834.60263,0.217416,-0.294464,0.529338,1,0.4841,0.6859,0.212372,-0.296455,0.535249,0.001,0.1846,0.2985,1,0.29855,0.0124,0.0124,117940,0
