t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778497385.193411,0.226433,-0.287209,0.357032,1,19.4799,19.6299,0.0,0.005,0.0,0.0011,1.1752,18.3035,250,0.07321,4.0248,4.0248,117692,0
1778497385.69705,0.226433,-0.282209,0.357032,1,24.737,27.0948,0.0,0.005,0.0,0.0016,0.1725,24.5629,250,0.09825,3.7071,3.7071,117764,1
1778497385.724547,0.226433,-0.277209,0.357032,1,12.6789,13.7371,0.0,0.005,0.0,0.0004,0.0881,12.5904,250,0.05036,3.44,3.44,117792,0
1778497385.76484,0.226433,-0.272209,0.357032,1,17.5826,18.62,0.0,0.005,0.0,0.0007,0.1427,17.4392,250,0.06976,3.2132,3.2132,117796,0
1778497385.784914,0.226433,-0.267209,0.357032,1,11.1144,11.6648,0.0,0.005,0.0,0.0004,0.0707,11.0433,250,0.04417,3.0189,3.0189,117796,0
1778497385.82511,0.226433,-0.262209,0.357032,1,0.3903,0.5115,0.0,0.005,0.0,0.0007,0.1112,0.2784,2,0.13922,2.8391,2.8391,117800,0
1778497385.845231,0.226433,-0.257209,0.357032,1,0.3653,0.5196,0.0,0.005,0.0,0.001,0.1352,0.2291,1,0.22909,2.8405,2.8405,117800,0
1778497385.885431,0.226433,-0.252209,0.357032,1,0.463,0.6574,0.0,0.005,0.0,0.0012,0.1735,0.2883,1,0.2883,2.6818,2.6818,117804,0
1778497385.905523,0.226433,-0.247209,0.357032,1,0.4648,0.6835,0.0,0.005,0.0,0.0009,0.1678,0.2961,1,0.29611,2.5616,2.5616,117804,0
1778497385.945675,0.226433,-0.242209,0.357032,1,0.4656,0.6622,0.0,0.005,0.0,0.0009,0.1663,0.2983,1,0.2983,2.4538,2.4538,117808,0
1778497385.96577,0.226433,-0.237209,0.357032,1,0.4585,0.6557,0.0,0.005,0.0,0.0009,0.157,0.3005,1,0.30052,2.3586,2.3586,117812,0
1778497386.006296,0.226433,-0.232209,0.357032,1,0.2973,0.4152,0.0,0.005,0.0,0.0005,0.1147,0.1821,1,0.18213,2.2742,2.2742,117820,0
1778497386.026496,0.226433,-0.227209,0.357032,1,0.3021,0.4323,0.0,0.005,0.0,0.0004,0.1166,0.185,1,0.18505,2.1992,2.1992,117820,0
1778497386.066888,0.226433,-0.222209,0.357032,1,0.4131,1.0648,0.0,0.005,0.0,0.0008,0.1428,0.2695,1,0.26953,2.1324,2.1324,117824,0
1778497386.087005,0.226433,-0.217209,0.357032,1,0.3875,0.9139,0.0,0.005,0.0,0.0007,0.136,0.2507,1,0.25073,2.073,2.073,117824,0
