x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,-0.45,0.05,0.0,0.0,0.0,0,436.614,1750,102.0,-1
-0.2,-0.45,0.15,0.0,0.0,0.0,0,297.081,1750,95.14,-1
-0.2,-0.45,0.25,0.0,0.0,0.0,0,226.224,1750,92.34,-1
-0.2,-0.45,0.35,0.0,0.0,0.0,0,141.592,1750,92.72,-1
-0.2,-0.45,0.45,0.0,0.0,0.0,0,63.133,1750,92.49,-1
-0.2,-0.45,0.55,0.0,0.0,0.0,1,1.824,14,0.76,0
-0.2,-0.45,0.65,0.0,0.0,0.0,1,1.432,766,40.4,3
-0.2,-0.35,0.05,0.0,0.0,0.0,0,363.826,1750,94.9,-1
-0.2,-0.35,0.15,0.0,0.0,0.0,0,312.567,1750,93.67,-1
-0.2,-0.35,0.25,0.0,0.0,0.0,0,248.25,1750,94.71,-1
-0.2,-0.35,0.35,0.0,0.0,0.0,0,104.222,1750,101.41,-1
-0.2,-0.35,0.45,0.0,0.0,0.0,0,33.947,1750,102.82,-1
-0.2,-0.35,0.55,0.0,0.0,0.0,1,1.491,523,31.48,2
-0.2,-0.35,0.65,0.0,0.0,0.0,1,2.257,20,1.26,0
-0.2,-0.25,0.05,0.0,0.0,0.0,0,387.721,1750,108.4,-1
-0.2,-0.25,0.15,0.0,0.0,0.0,0,314.85,1750,106.71,-1
-0.2,-0.25,0.25,0.0,0.0,0.0,0,251.182,1750,106.7,-1
-0.2,-0.25,0.35,0.0,0.0,0.0,0,78.424,1750,103.68,-1
-0.2,-0.25,0.45,0.0,0.0,0.0,0,56.299,1750,103.6,-1
-0.2,-0.25,0.55,0.0,0.0,0.0,0,113.393,1750,102.37,-1
-0.2,-0.25,0.65,0.0,0.0,0.0,1,4.319,250,13.9,0
-0.2,-0.15,0.05,0.0,0.0,0.0,0,381.7,1750,104.64,-1
-0.2,-0.15,0.15,0.0,0.0,0.0,0,243.169,1750,101.66,-1
-0.2,-0.15,0.25,0.0,0.0,0.0,0,241.466,1750,103.99,-1
-0.2,-0.15,0.35,0.0,0.0,0.0,0,105.743,1750,103.96,-1
-0.2,-0.15,0.45,0.0,0.0,0.0,0,15.275,1750,100.08,-1
-0.2,-0.15,0.55,0.0,0.0,0.0,1,1.469,519,31.55,2
