x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,1,1.391
-0.1000,-0.2500,0.3000,1,1.333
-0.1000,-0.2000,0.3000,1,2.170
-0.1500,-0.1000,0.3000,1,1.284
-0.1000,-0.1000,0.3000,0,6.727
-0.1000,-0.0500,0.3000,1,1.360
-0.0500,-0.3000,0.3000,1,2.167
-0.0500,-0.2500,0.3000,1,1.262
-0.0500,-0.2000,0.3000,1,2.742
-0.1000,-0.1500,0.3000,1,1.872
-0.0500,-0.1500,0.3000,1,2.624
-0.0500,-0.1000,0.3000,1,1.199
0.0500,-0.3000,0.3000,0,13.757
0.0500,-0.2500,0.3000,0,9.033
0.0500,-0.2000,0.3000,0,8.178
0.1000,-0.2500,0.3000,0,9.361
0.1000,-0.2000,0.3000,0,8.576
0.0500,-0.1500,0.3000,1,4.491
0.0500,-0.1000,0.3000,0,7.816
0.1000,-0.1500,0.3000,0,6.562
0.1000,-0.0500,0.3000,0,6.696
0.1500,-0.1000,0.3000,0,7.005
-0.2500,-0.2000,0.3500,1,2.461
-0.2500,-0.1500,0.3500,1,1.461
-0.2500,-0.1000,0.3500,1,3.515
-0.2000,-0.1500,0.3500,1,1.150
-0.2000,-0.1000,0.3500,1,1.282
-0.2000,-0.3000,0.3500,1,1.536
-0.1500,-0.3500,0.3500,1,2.281
-0.1500,-0.3000,0.3500,1,5.503
-0.1000,-0.3500,0.3500,1,1.209
-0.2000,-0.2500,0.3500,1,2.415
-0.1500,-0.2500,0.3500,1,3.229
-0.1500,-0.2000,0.3500,1,1.441
-0.1000,-0.2500,0.3500,1,1.226
-0.1000,-0.2000,0.3500,1,1.175
-0.2000,-0.0500,0.3500,1,2.467
-0.1500,-0.1000,0.3500,1,2.609
-0.1500,-0.0500,0.3500,1,1.128
-0.1500,0.0000,0.3500,1,1.261
-0.1000,-0.1000,0.3500,1,1.160
-0.0500,-0.4000,0.3500,1,1.171
-0.0500,-0.3500,0.3500,1,1.138
-0.0500,-0.3000,0.3500,1,1.217
0.0000,-0.3500,0.3500,0,8.018
0.0000,-0.3000,0.3500,0,5.999
-0.0500,-0.2500,0.3500,1,1.437
-0.0500,-0.2000,0.3500,1,2.745
-0.1000,-0.1500,0.3500,1,3.041
-0.0500,-0.1000,0.3500,1,1.522
0.0500,-0.4000,0.3500,0,11.842
0.0500,-0.3000,0.3500,0,8.353
0.1000,-0.3500,0.3500,0,7.933
0.1000,-0.3000,0.3500,0,9.703
0.0500,-0.2500,0.3500,0,15.422
0.1000,-0.2500,0.3500,0,9.575
0.1000,-0.2000,0.3500,0,7.730
0.0500,-0.1000,0.3500,0,6.474
0.1000,-0.1500,0.3500,0,6.534
0.1000,-0.1000,0.3500,0,6.244
0.1500,-0.3000,0.3500,0,9.015
0.1500,-0.2500,0.3500,0,6.445
0.1500,-0.2000,0.3500,0,6.761
0.2000,-0.3000,0.3500,0,7.060
0.2000,-0.2500,0.3500,0,7.093
0.2000,-0.2000,0.3500,0,7.851
0.1500,-0.0500,0.3500,0,7.508
0.1500,0.0000,0.3500,0,7.525
0.2000,-0.0500,0.3500,0,8.787
-0.3000,-0.2000,0.4000,1,1.596
-0.3000,-0.1500,0.4000,1,2.840
-0.3000,-0.1000,0.4000,1,1.642
-0.2500,-0.3000,0.4000,1,1.146
-0.2000,-0.4000,0.4000,1,2.403
-0.2000,-0.3500,0.4000,1,1.739
-0.2000,-0.3000,0.4000,1,4.029
-0.3000,-0.2500,0.4000,1,2.609
-0.2500,-0.2500,0.4000,1,1.386
-0.2500,-0.2000,0.4000,1,5.593
-0.2000,-0.2500,0.4000,1,1.368
-0.2000,-0.2000,0.4000,0,7.196
-0.2500,-0.1500,0.4000,1,2.870
-0.2500,-0.1000,0.4000,1,1.483
-0.2000,-0.1500,0.4000,1,1.318
