x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,10.469
-0.1000,-0.2500,0.3000,0,6.284
-0.1000,-0.2000,0.3000,0,9.411
-0.1500,-0.1000,0.3000,0,7.205
-0.1000,-0.1000,0.3000,0,8.788
-0.1000,-0.0500,0.3000,0,6.926
-0.0500,-0.3000,0.3000,0,10.095
-0.0500,-0.2500,0.3000,0,18.853
-0.0500,-0.2000,0.3000,0,7.975
-0.1000,-0.1500,0.3000,0,10.135
-0.0500,-0.1500,0.3000,0,11.472
-0.0500,-0.1000,0.3000,0,24.995
0.0500,-0.3000,0.3000,1,4.379
0.0500,-0.2500,0.3000,1,2.345
0.0500,-0.2000,0.3000,0,10.186
0.1000,-0.2500,0.3000,1,5.618
0.1000,-0.2000,0.3000,1,1.299
0.0500,-0.1500,0.3000,1,3.471
0.0500,-0.1000,0.3000,1,4.119
0.1000,-0.1500,0.3000,0,10.975
0.1000,-0.0500,0.3000,1,1.715
0.1500,-0.1000,0.3000,0,9.780
-0.2500,-0.2000,0.3500,0,6.890
-0.2500,-0.1500,0.3500,0,6.512
-0.2500,-0.1000,0.3500,0,6.881
-0.2000,-0.1500,0.3500,0,10.750
-0.2000,-0.1000,0.3500,0,8.800
-0.2000,-0.3000,0.3500,0,6.674
-0.1500,-0.3500,0.3500,0,9.773
-0.1500,-0.3000,0.3500,0,6.285
-0.1000,-0.3500,0.3500,0,6.653
-0.2000,-0.2500,0.3500,0,7.111
-0.1500,-0.2500,0.3500,0,12.042
-0.1500,-0.2000,0.3500,0,8.130
-0.1000,-0.2500,0.3500,0,9.915
-0.1000,-0.2000,0.3500,0,8.020
-0.2000,-0.0500,0.3500,0,6.950
-0.1500,-0.1000,0.3500,0,10.445
-0.1500,-0.0500,0.3500,0,7.504
-0.1500,0.0000,0.3500,0,7.031
-0.1000,-0.1000,0.3500,0,10.139
-0.0500,-0.4000,0.3500,0,7.505
-0.0500,-0.3500,0.3500,0,10.626
-0.0500,-0.3000,0.3500,0,9.546
0.0000,-0.3500,0.3500,0,9.641
0.0000,-0.3000,0.3500,0,9.055
-0.0500,-0.2500,0.3500,0,10.267
-0.0500,-0.2000,0.3500,0,10.686
-0.1000,-0.1500,0.3500,0,11.577
-0.0500,-0.1000,0.3500,0,7.605
0.0500,-0.4000,0.3500,1,2.503
0.0500,-0.3000,0.3500,1,3.869
0.1000,-0.3500,0.3500,1,2.234
0.1000,-0.3000,0.3500,1,2.187
0.0500,-0.2500,0.3500,1,6.289
0.1000,-0.2500,0.3500,1,4.387
0.1000,-0.2000,0.3500,0,8.339
0.0500,-0.1000,0.3500,0,6.559
0.1000,-0.1500,0.3500,1,1.553
0.1000,-0.1000,0.3500,0,9.009
0.1500,-0.3000,0.3500,1,2.414
0.1500,-0.2500,0.3500,0,9.043
0.1500,-0.2000,0.3500,1,6.318
0.2000,-0.3000,0.3500,1,6.287
0.2000,-0.2500,0.3500,1,2.117
0.2000,-0.2000,0.3500,0,8.295
0.1500,-0.0500,0.3500,1,2.308
0.1500,0.0000,0.3500,0,9.748
0.2000,-0.0500,0.3500,1,4.552
-0.3000,-0.2000,0.4000,0,7.334
-0.3000,-0.1500,0.4000,0,11.229
-0.3000,-0.1000,0.4000,0,6.785
-0.2500,-0.3000,0.4000,0,9.129
-0.2000,-0.4000,0.4000,0,7.646
-0.2000,-0.3500,0.4000,0,6.569
-0.2000,-0.3000,0.4000,0,6.532
-0.3000,-0.2500,0.4000,0,6.859
-0.2500,-0.2500,0.4000,0,7.731
-0.2500,-0.2000,0.4000,0,6.961
-0.2000,-0.2500,0.4000,0,11.867
-0.2000,-0.2000,0.4000,0,6.535
-0.2500,-0.1500,0.4000,0,6.676
-0.2500,-0.1000,0.4000,0,6.959
-0.2000,-0.1500,0.4000,0,9.590
-0.2000,-0.1000,0.4000,0,6.489
-0.1500,-0.4000,0.4000,0,6.000
-0.1000,-0.4500,0.4000,0,6.552
-0.1000,-0.4000,0.4000,0,6.744
-0.1500,-0.3500,0.4000,0,7.962
-0.1500,-0.3000,0.4000,0,7.780
-0.1000,-0.3500,0.4000,0,10.619
-0.1000,-0.3000,0.4000,0,9.259
-0.1500,-0.2500,0.4000,0,10.816
-0.1500,-0.2000,0.4000,0,8.887
-0.1000,-0.2500,0.4000,0,7.876
-0.2000,-0.0500,0.4000,0,6.491
-0.2000,0.0000,0.4000,0,7.635
-0.1500,-0.1000,0.4000,0,9.309
-0.1500,0.0000,0.4000,0,11.274
-0.0500,-0.4500,0.4000,0,8.629
-0.0500,-0.4000,0.4000,0,8.611
-0.0500,-0.3500,0.4000,0,7.883
-0.0500,-0.3000,0.4000,0,9.108
-0.0500,-0.2500,0.4000,0,10.735
-0.0500,-0.2000,0.4000,0,11.336
-0.0500,-0.1000,0.4000,0,8.240
0.0500,-0.4000,0.4000,0,6.465
0.1000,-0.4500,0.4000,1,2.636
0.1000,-0.4000,0.4000,0,7.791
0.0500,-0.3000,0.4000,1,5.969
0.1000,-0.3500,0.4000,1,2.875
0.1000,-0.3000,0.4000,0,11.072
0.0500,-0.2500,0.4000,0,7.064
0.1000,-0.2500,0.4000,0,8.133
0.1000,-0.2000,0.4000,1,1.442
0.1500,-0.3000,0.4000,1,2.452
0.1500,-0.2500,0.4000,1,4.408
0.1500,-0.2000,0.4000,0,6.876
0.2000,-0.3000,0.4000,0,10.588
0.2000,-0.2000,0.4000,0,6.857
0.2000,-0.1000,0.4000,1,2.590
0.2000,-0.3500,0.4000,0,6.190
0.2500,-0.3000,0.4000,0,7.684
0.2500,-0.2500,0.4000,1,5.305
0.3000,-0.2500,0.4000,1,3.386
0.3000,-0.2000,0.4000,0,8.083
0.3000,-0.1000,0.4000,1,4.360
-0.3500,-0.2000,0.4500,0,6.308
-0.3500,-0.1500,0.4500,0,7.504
-0.3000,-0.2000,0.4500,0,8.076
-0.3000,-0.1500,0.4500,0,8.326
-0.3000,-0.1000,0.4500,0,8.805
-0.3000,-0.3000,0.4500,0,8.344
-0.2500,-0.4000,0.4500,0,6.244
-0.2500,-0.3500,0.4500,0,7.770
-0.2500,-0.3000,0.4500,0,7.000
-0.2000,-0.4000,0.4500,0,6.438
-0.2000,-0.3500,0.4500,0,6.591
-0.2000,-0.3000,0.4500,0,8.214
-0.3000,-0.2500,0.4500,0,6.478
-0.2500,-0.2500,0.4500,0,7.708
-0.2500,-0.2000,0.4500,0,8.568
-0.2000,-0.2500,0.4500,0,9.364
-0.2000,-0.2000,0.4500,0,8.003
-0.1500,-0.4500,0.4500,0,7.633
-0.1500,-0.4000,0.4500,0,9.033
-0.1000,-0.4500,0.4500,0,11.242
-0.1000,-0.4000,0.4500,0,11.443
-0.1500,-0.3500,0.4500,0,8.106
