x,y,z,success,orient_name,qx,qy,qz,qw,ompl_ms,motion_ms,total_ms
-0.2500,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,56.72,2374.62,2431.34
-0.1500,-0.3500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,31.72,980.94,1012.66
-0.1500,-0.2500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,57.70,1382.24,1439.93
-0.1500,-0.0500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,59.04,2521.37,2580.42
-0.0500,-0.3500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,42.03,1235.05,1277.08
-0.0500,-0.2500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,62.62,2844.41,2907.02
-0.0500,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,61.84,1715.84,1777.68
0.0500,-0.3500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,46.47,2293.76,2340.23
0.0500,-0.2500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,39.81,1176.09,1215.90
0.0500,-0.1500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,131.84,3175.56,3307.41
0.1500,-0.2500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,140.92,1135.68,1276.60
0.1500,-0.0500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,79.68,995.68,1075.37
-0.3500,-0.1500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,57.00,2320.93,2377.94
-0.2500,-0.3500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,34.15,1822.63,1856.78
-0.2500,-0.2500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,36.65,2079.34,2115.99
-0.1500,-0.4500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,28.41,1377.89,1406.30
-0.1500,-0.3500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,40.12,1518.65,1558.78
-0.1500,-0.2500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,32.70,1100.77,1133.47
-0.1500,-0.0500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,35.75,2082.32,2118.06
-0.0500,-0.4500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,43.38,1516.44,1559.82
0.0500,-0.4500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,66.25,2133.99,2200.24
0.0500,-0.3500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,51.26,1421.74,1473.00
0.0500,-0.2500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,94.16,3339.59,3433.75
0.1500,-0.4500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,39.90,2039.86,2079.76
0.2500,-0.3500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,51.76,821.60,873.36
0.2500,-0.2500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,91.00,1173.61,1264.61
0.3500,-0.1500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,31.74,1663.28,1695.02
-0.3500,-0.3500,0.5500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,32.41,2118.04,2150.45
-0.3500,-0.2500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,40.13,1681.35,1721.48
-0.3500,-0.1500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,34.78,1457.31,1492.09
-0.3500,-0.0500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,35.48,1857.56,1893.04
-0.2500,-0.4500,0.5500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,37.13,1876.23,1913.36
-0.2500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,62.78,1739.53,1802.31
-0.2500,-0.2500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,34.45,2302.65,2337.10
-0.2500,-0.1500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,35.41,1278.71,1314.13
-0.2500,-0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,62.46,1715.33,1777.79
-0.2500,0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,76.12,1121.68,1197.80
-0.1500,-0.4500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,35.08,2463.01,2498.09
-0.1500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,48.25,1518.42,1566.67
-0.1500,-0.2500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,48.76,2161.06,2209.82
-0.1500,-0.1500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,45.99,1782.02,1828.02
-0.1500,-0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,44.58,1623.72,1668.30
-0.1500,0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,49.57,1359.65,1409.22
-0.0500,-0.4500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,56.36,2657.06,2713.42
-0.0500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,51.50,1381.97,1433.48
-0.0500,-0.2500,0.5500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,105.52,2800.33,2905.85
0.0500,-0.4500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,56.58,2703.47,2760.05
0.0500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,38.75,1380.91,1419.66
0.1500,-0.4500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,31.22,1635.93,1667.14
0.1500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,41.18,1499.04,1540.22
0.1500,-0.2500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,53.40,2060.32,2113.72
0.1500,-0.1500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,60.18,2217.25,2277.43
0.2500,-0.4500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,143.26,2295.45,2438.71
0.2500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.53,2836.90,2881.43
0.2500,-0.2500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,53.02,2278.90,2331.92
0.2500,-0.1500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,62.70,1438.17,1500.87
0.2500,-0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,52.47,2255.01,2307.48
0.3500,-0.3500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,54.49,2036.78,2091.27
0.3500,-0.2500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,166.33,1356.85,1523.18
0.3500,-0.1500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,97.78,781.96,879.74
0.3500,-0.0500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,67.91,775.56,843.47
-0.3500,-0.2500,0.6500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,52.72,3138.57,3191.29
-0.3500,-0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,71.78,1395.54,1467.32
-0.2500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.22,2963.90,3008.12
-0.2500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,29.88,1418.65,1448.54
