x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,6.718
-0.1000,-0.2500,0.3000,0,6.912
-0.1000,-0.2000,0.3000,0,6.663
-0.1500,-0.1000,0.3000,0,6.951
-0.1000,-0.1000,0.3000,0,8.785
-0.1000,-0.0500,0.3000,0,7.611
-0.0500,-0.3000,0.3000,0,6.689
-0.0500,-0.2500,0.3000,0,8.344
-0.0500,-0.2000,0.3000,0,6.017
-0.1000,-0.1500,0.3000,0,9.128
-0.0500,-0.1500,0.3000,0,6.573
-0.0500,-0.1000,0.3000,0,5.820
0.0500,-0.3000,0.3000,0,6.180
0.0500,-0.2500,0.3000,0,6.508
0.0500,-0.2000,0.3000,0,6.366
0.1000,-0.2500,0.3000,0,7.418
0.1000,-0.2000,0.3000,0,6.895
0.0500,-0.1500,0.3000,0,6.993
0.0500,-0.1000,0.3000,0,5.994
0.1000,-0.1500,0.3000,0,6.755
0.1000,-0.0500,0.3000,0,6.965
0.1500,-0.1000,0.3000,0,9.266
-0.2500,-0.2000,0.3500,0,6.971
-0.2500,-0.1500,0.3500,0,7.685
-0.2500,-0.1000,0.3500,0,6.643
-0.2000,-0.1500,0.3500,0,6.640
-0.2000,-0.1000,0.3500,0,8.115
-0.2000,-0.3000,0.3500,0,8.712
-0.1500,-0.3500,0.3500,0,6.465
-0.1500,-0.3000,0.3500,0,5.778
-0.1000,-0.3500,0.3500,0,6.869
-0.2000,-0.2500,0.3500,0,6.923
-0.1500,-0.2500,0.3500,0,8.247
-0.1500,-0.2000,0.3500,0,8.580
-0.1000,-0.2500,0.3500,0,5.997
-0.1000,-0.2000,0.3500,0,6.591
-0.2000,-0.0500,0.3500,0,7.443
-0.1500,-0.1000,0.3500,0,10.098
-0.1500,-0.0500,0.3500,0,6.551
-0.1500,0.0000,0.3500,0,7.761
-0.1000,-0.1000,0.3500,0,6.618
-0.0500,-0.4000,0.3500,0,6.628
-0.0500,-0.3500,0.3500,0,12.634
-0.0500,-0.3000,0.3500,0,8.700
0.0000,-0.3500,0.3500,0,6.762
0.0000,-0.3000,0.3500,0,7.487
-0.0500,-0.2500,0.3500,0,7.831
-0.0500,-0.2000,0.3500,0,6.859
-0.1000,-0.1500,0.3500,0,6.500
-0.0500,-0.1000,0.3500,0,7.057
0.0500,-0.4000,0.3500,0,6.554
0.0500,-0.3000,0.3500,0,6.028
0.1000,-0.3500,0.3500,0,9.634
0.1000,-0.3000,0.3500,0,7.104
0.0500,-0.2500,0.3500,0,6.620
0.1000,-0.2500,0.3500,0,6.628
0.1000,-0.2000,0.3500,0,10.869
0.0500,-0.1000,0.3500,0,6.520
0.1000,-0.1500,0.3500,0,6.602
0.1000,-0.1000,0.3500,0,11.427
0.1500,-0.3000,0.3500,0,6.859
0.1500,-0.2500,0.3500,0,12.234
0.1500,-0.2000,0.3500,0,7.379
0.2000,-0.3000,0.3500,0,7.164
0.2000,-0.2500,0.3500,0,8.838
0.2000,-0.2000,0.3500,0,20.900
0.1500,-0.0500,0.3500,0,6.496
0.1500,0.0000,0.3500,0,7.518
0.2000,-0.0500,0.3500,0,6.842
-0.3000,-0.2000,0.4000,0,6.676
-0.3000,-0.1500,0.4000,0,6.829
-0.3000,-0.1000,0.4000,0,9.320
-0.2500,-0.3000,0.4000,0,6.842
-0.2000,-0.4000,0.4000,0,6.771
-0.2000,-0.3500,0.4000,0,6.149
-0.2000,-0.3000,0.4000,0,7.604
-0.3000,-0.2500,0.4000,0,6.532
-0.2500,-0.2500,0.4000,0,6.715
-0.2500,-0.2000,0.4000,0,8.141
-0.2000,-0.2500,0.4000,0,9.015
-0.2000,-0.2000,0.4000,0,7.443
-0.2500,-0.1500,0.4000,0,7.921
-0.2500,-0.1000,0.4000,0,10.038
-0.2000,-0.1500,0.4000,0,6.493
-0.2000,-0.1000,0.4000,0,6.700
-0.1500,-0.4000,0.4000,0,6.682
-0.1000,-0.4500,0.4000,0,7.111
-0.1000,-0.4000,0.4000,0,8.129
-0.1500,-0.3500,0.4000,0,7.526
-0.1500,-0.3000,0.4000,0,7.561
-0.1000,-0.3500,0.4000,0,6.672
-0.1000,-0.3000,0.4000,0,9.939
-0.1500,-0.2500,0.4000,0,6.457
-0.1500,-0.2000,0.4000,0,6.200
-0.1000,-0.2500,0.4000,0,7.728
-0.2000,-0.0500,0.4000,0,7.061
-0.2000,0.0000,0.4000,0,8.108
-0.1500,-0.1000,0.4000,0,6.575
-0.1500,0.0000,0.4000,0,6.493
-0.0500,-0.4500,0.4000,0,7.684
-0.0500,-0.4000,0.4000,0,8.749
-0.0500,-0.3500,0.4000,0,6.576
-0.0500,-0.3000,0.4000,0,8.270
-0.0500,-0.2500,0.4000,0,8.350
-0.0500,-0.2000,0.4000,0,6.406
-0.0500,-0.1000,0.4000,0,6.647
0.0500,-0.4000,0.4000,0,6.292
0.1000,-0.4500,0.4000,0,6.263
0.1000,-0.4000,0.4000,0,6.061
0.0500,-0.3000,0.4000,0,8.408
0.1000,-0.3500,0.4000,0,5.828
0.1000,-0.3000,0.4000,0,7.879
0.0500,-0.2500,0.4000,0,6.489
0.1000,-0.2500,0.4000,0,6.638
0.1000,-0.2000,0.4000,0,6.457
0.1500,-0.3000,0.4000,0,6.467
0.1500,-0.2500,0.4000,0,7.654
0.1500,-0.2000,0.4000,0,9.036
0.2000,-0.3000,0.4000,0,6.795
0.2000,-0.2000,0.4000,0,7.088
0.2000,-0.1000,0.4000,0,6.444
0.2000,-0.3500,0.4000,0,11.023
0.2500,-0.3000,0.4000,0,7.990
0.2500,-0.2500,0.4000,0,7.375
0.3000,-0.2500,0.4000,0,5.909
0.3000,-0.2000,0.4000,0,6.578
0.3000,-0.1000,0.4000,0,6.655
-0.3500,-0.2000,0.4500,0,6.740
-0.3500,-0.1500,0.4500,0,8.767
-0.3000,-0.2000,0.4500,0,14.481
-0.3000,-0.1500,0.4500,0,6.753
-0.3000,-0.1000,0.4500,0,10.752
-0.3000,-0.3000,0.4500,0,7.781
-0.2500,-0.4000,0.4500,0,6.641
-0.2500,-0.3500,0.4500,0,8.096
-0.2500,-0.3000,0.4500,0,7.349
-0.2000,-0.4000,0.4500,0,8.785
-0.2000,-0.3500,0.4500,0,9.363
-0.2000,-0.3000,0.4500,0,6.455
-0.3000,-0.2500,0.4500,0,7.785
-0.2500,-0.2500,0.4500,0,77.121
-0.2500,-0.2000,0.4500,0,7.126
-0.2000,-0.2500,0.4500,0,20.656
-0.2000,-0.2000,0.4500,0,10.120
-0.1500,-0.4500,0.4500,0,6.132
-0.1500,-0.4000,0.4500,0,8.251
-0.1000,-0.4500,0.4500,0,5.912
-0.1000,-0.4000,0.4500,0,5.945
-0.1500,-0.3500,0.4500,0,6.801
-0.1500,-0.3000,0.4500,0,9.010
-0.1000,-0.3500,0.4500,0,6.516
-0.1000,-0.3000,0.4500,0,8.858
-0.1500,-0.2500,0.4500,0,8.899
-0.1500,-0.2000,0.4500,0,11.367
-0.1000,-0.2500,0.4500,0,6.790
-0.2000,-0.0500,0.4500,0,6.093
-0.1500,0.0000,0.4500,0,10.210
-0.0500,-0.5000,0.4500,0,6.616
-0.0500,-0.4500,0.4500,0,7.372
-0.0500,-0.4000,0.4500,0,10.485
0.0500,-0.5000,0.4500,0,6.443
0.0500,-0.4500,0.4500,0,10.948
0.0500,-0.4000,0.4500,0,7.520
0.1000,-0.4000,0.4500,0,10.397
0.0500,-0.3000,0.4500,0,9.202
0.0000,-0.2000,0.4500,0,6.084
0.0500,-0.2000,0.4500,0,8.945
0.1000,-0.2500,0.4500,0,6.425
0.1000,-0.2000,0.4500,0,11.208
0.1500,-0.4500,0.4500,0,7.547
0.1500,-0.4000,0.4500,0,8.564
0.2000,-0.4000,0.4500,0,8.987
0.3000,-0.3000,0.4500,0,8.278
0.2500,-0.2500,0.4500,0,7.023
0.3000,-0.2500,0.4500,0,6.623
0.3000,-0.1500,0.4500,0,6.707
0.3500,-0.2000,0.4500,0,6.706
0.3500,-0.1500,0.4500,0,7.684
0.3500,-0.1000,0.4500,0,5.879
-0.3500,-0.3000,0.5000,0,6.145
-0.3000,-0.3500,0.5000,0,11.497
-0.3000,-0.3000,0.5000,0,8.058
-0.3500,-0.2500,0.5000,0,6.878
-0.3500,-0.2000,0.5000,0,6.462
-0.3000,-0.2500,0.5000,0,6.140
-0.3000,-0.2000,0.5000,0,5.975
-0.3500,-0.1500,0.5000,0,8.892
-0.3500,-0.1000,0.5000,0,10.242
-0.3000,-0.1500,0.5000,0,8.079
-0.3000,-0.1000,0.5000,0,6.371
-0.3500,-0.0500,0.5000,0,7.032
-0.3000,-0.0500,0.5000,0,10.338
-0.2500,-0.4500,0.5000,0,7.236
-0.2500,-0.4000,0.5000,0,6.589
-0.2000,-0.4500,0.5000,0,6.323
-0.2000,-0.4000,0.5000,0,9.089
-0.2500,-0.3000,0.5000,0,6.618
-0.2000,-0.3500,0.5000,0,10.795
-0.2000,-0.3000,0.5000,0,7.774
-0.2500,-0.2500,0.5000,0,8.617
-0.2000,-0.2500,0.5000,0,6.656
-0.2000,-0.2000,0.5000,0,7.563
-0.2500,-0.1500,0.5000,0,6.553
-0.2500,-0.1000,0.5000,0,8.785
-0.2000,-0.1500,0.5000,0,7.240
-0.2000,-0.1000,0.5000,0,10.322
-0.2500,-0.0500,0.5000,0,6.912
-0.2000,-0.0500,0.5000,0,11.985
-0.2000,0.0000,0.5000,0,6.944
-0.1500,-0.5000,0.5000,0,6.607
-0.1500,-0.4500,0.5000,0,8.834
-0.1500,-0.4000,0.5000,0,10.034
-0.1000,-0.5000,0.5000,0,8.665
-0.1000,-0.4500,0.5000,0,6.829
-0.1000,-0.4000,0.5000,0,9.047
-0.1500,-0.3500,0.5000,0,11.360
-0.1500,-0.3000,0.5000,0,9.129
-0.1000,-0.3500,0.5000,0,11.273
-0.1000,-0.3000,0.5000,0,6.494
-0.1500,-0.2500,0.5000,0,7.748
-0.1500,-0.2000,0.5000,0,7.509
-0.1000,-0.2500,0.5000,0,9.911
-0.1000,-0.2000,0.5000,0,8.782
-0.1500,-0.1500,0.5000,0,7.783
-0.1500,-0.1000,0.5000,0,8.061
-0.1000,-0.1000,0.5000,0,8.343
