x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,7.459
-0.1000,-0.2500,0.3000,0,9.236
-0.1000,-0.2000,0.3000,0,6.566
-0.1500,-0.1000,0.3000,0,6.391
-0.1000,-0.1000,0.3000,0,6.546
-0.1000,-0.0500,0.3000,0,6.411
-0.0500,-0.3000,0.3000,0,6.463
-0.0500,-0.2500,0.3000,0,7.158
-0.0500,-0.2000,0.3000,0,8.072
-0.1000,-0.1500,0.3000,0,6.467
-0.0500,-0.1500,0.3000,0,7.911
-0.0500,-0.1000,0.3000,0,6.734
0.0500,-0.3000,0.3000,0,9.039
0.0500,-0.2500,0.3000,0,8.387
0.0500,-0.2000,0.3000,0,6.208
0.1000,-0.2500,0.3000,0,5.987
0.1000,-0.2000,0.3000,0,9.778
0.0500,-0.1500,0.3000,0,10.202
0.0500,-0.1000,0.3000,0,6.491
0.1000,-0.1500,0.3000,0,6.704
0.1000,-0.0500,0.3000,0,11.626
0.1500,-0.1000,0.3000,0,6.715
-0.2500,-0.2000,0.3500,0,7.132
-0.2500,-0.1500,0.3500,0,6.944
-0.2500,-0.1000,0.3500,0,6.779
-0.2000,-0.1500,0.3500,0,6.390
-0.2000,-0.1000,0.3500,0,11.378
-0.2000,-0.3000,0.3500,0,8.548
-0.1500,-0.3500,0.3500,0,7.145
-0.1500,-0.3000,0.3500,0,7.019
-0.1000,-0.3500,0.3500,0,6.134
-0.2000,-0.2500,0.3500,0,6.197
-0.1500,-0.2500,0.3500,0,7.267
-0.1500,-0.2000,0.3500,0,6.394
-0.1000,-0.2500,0.3500,0,6.272
-0.1000,-0.2000,0.3500,0,10.990
-0.2000,-0.0500,0.3500,0,6.843
-0.1500,-0.1000,0.3500,0,6.529
-0.1500,-0.0500,0.3500,0,6.575
-0.1500,0.0000,0.3500,0,6.717
-0.1000,-0.1000,0.3500,0,7.384
-0.0500,-0.4000,0.3500,0,6.764
-0.0500,-0.3500,0.3500,0,6.121
-0.0500,-0.3000,0.3500,0,7.263
0.0000,-0.3500,0.3500,0,7.096
0.0000,-0.3000,0.3500,0,11.225
-0.0500,-0.2500,0.3500,0,7.476
