x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,5.672
-0.1000,-0.2500,0.3000,0,6.628
-0.1000,-0.2000,0.3000,0,6.397
-0.1500,-0.1000,0.3000,0,6.576
-0.1000,-0.1000,0.3000,0,7.254
-0.1000,-0.0500,0.3000,0,6.944
-0.0500,-0.3000,0.3000,0,6.398
-0.0500,-0.2500,0.3000,0,6.116
-0.0500,-0.2000,0.3000,0,6.724
-0.1000,-0.1500,0.3000,0,8.201
-0.0500,-0.1500,0.3000,0,7.083
-0.0500,-0.1000,0.3000,0,6.605
0.0500,-0.3000,0.3000,0,6.022
0.0500,-0.2500,0.3000,0,7.919
0.0500,-0.2000,0.3000,0,6.565
0.1000,-0.2500,0.3000,0,6.096
0.1000,-0.2000,0.3000,0,11.074
0.0500,-0.1500,0.3000,0,10.704
0.0500,-0.1000,0.3000,0,6.770
0.1000,-0.1500,0.3000,0,6.955
0.1000,-0.0500,0.3000,0,6.848
0.1500,-0.1000,0.3000,0,6.706
-0.2500,-0.2000,0.3500,0,6.585
-0.2500,-0.1500,0.3500,0,6.748
-0.2500,-0.1000,0.3500,0,6.540
-0.2000,-0.1500,0.3500,0,6.688
-0.2000,-0.1000,0.3500,0,6.462
-0.2000,-0.3000,0.3500,0,9.014
-0.1500,-0.3500,0.3500,0,8.231
-0.1500,-0.3000,0.3500,0,6.575
-0.1000,-0.3500,0.3500,0,6.522
-0.2000,-0.2500,0.3500,0,6.759
-0.1500,-0.2500,0.3500,0,7.744
-0.1500,-0.2000,0.3500,0,11.513
-0.1000,-0.2500,0.3500,0,6.356
-0.1000,-0.2000,0.3500,0,8.020
-0.2000,-0.0500,0.3500,0,6.802
-0.1500,-0.1000,0.3500,0,6.912
-0.1500,-0.0500,0.3500,0,6.714
-0.1500,0.0000,0.3500,0,5.955
-0.1000,-0.1000,0.3500,0,7.530
-0.0500,-0.4000,0.3500,0,7.529
-0.0500,-0.3500,0.3500,0,6.482
-0.0500,-0.3000,0.3500,0,5.841
0.0000,-0.3500,0.3500,0,6.176
0.0000,-0.3000,0.3500,0,6.604
-0.0500,-0.2500,0.3500,0,6.615
-0.0500,-0.2000,0.3500,0,6.233
-0.1000,-0.1500,0.3500,0,6.733
-0.0500,-0.1000,0.3500,0,5.991
0.0500,-0.4000,0.3500,0,6.757
0.0500,-0.3000,0.3500,0,10.069
0.1000,-0.3500,0.3500,0,6.003
0.1000,-0.3000,0.3500,0,8.136
0.0500,-0.2500,0.3500,0,7.560
0.1000,-0.2500,0.3500,0,6.666
0.1000,-0.2000,0.3500,0,6.516
0.0500,-0.1000,0.3500,0,6.489
0.1000,-0.1500,0.3500,0,11.230
