x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,6.480
-0.1000,-0.2500,0.3000,0,5.988
-0.1000,-0.2000,0.3000,0,6.405
-0.1500,-0.1000,0.3000,0,6.506
-0.1000,-0.1000,0.3000,0,6.364
-0.1000,-0.0500,0.3000,0,7.825
-0.0500,-0.3000,0.3000,0,7.348
-0.0500,-0.2500,0.3000,0,6.967
-0.0500,-0.2000,0.3000,0,7.242
-0.1000,-0.1500,0.3000,0,7.292
-0.0500,-0.1500,0.3000,0,8.853
-0.0500,-0.1000,0.3000,0,6.596
0.0500,-0.3000,0.3000,0,7.584
0.0500,-0.2500,0.3000,0,6.349
0.0500,-0.2000,0.3000,0,9.477
0.1000,-0.2500,0.3000,0,7.117
0.1000,-0.2000,0.3000,0,6.850
0.0500,-0.1500,0.3000,0,6.574
0.0500,-0.1000,0.3000,0,9.380
0.1000,-0.1500,0.3000,0,7.389
0.1000,-0.0500,0.3000,0,6.904
0.1500,-0.1000,0.3000,0,6.593
-0.2500,-0.2000,0.3500,0,6.815
-0.2500,-0.1500,0.3500,0,6.856
-0.2500,-0.1000,0.3500,0,6.095
-0.2000,-0.1500,0.3500,0,6.037
-0.2000,-0.1000,0.3500,0,6.903
-0.2000,-0.3000,0.3500,0,5.872
-0.1500,-0.3500,0.3500,0,6.571
-0.1500,-0.3000,0.3500,0,6.106
-0.1000,-0.3500,0.3500,0,7.062
-0.2000,-0.2500,0.3500,0,6.581
-0.1500,-0.2500,0.3500,0,6.703
-0.1500,-0.2000,0.3500,0,6.436
-0.1000,-0.2500,0.3500,0,8.010
-0.1000,-0.2000,0.3500,0,7.472
-0.2000,-0.0500,0.3500,0,7.614
-0.1500,-0.1000,0.3500,0,11.732
-0.1500,-0.0500,0.3500,0,8.527
-0.1500,0.0000,0.3500,0,7.049
-0.1000,-0.1000,0.3500,0,10.669
-0.0500,-0.4000,0.3500,0,6.855
-0.0500,-0.3500,0.3500,0,6.958
-0.0500,-0.3000,0.3500,0,7.509
0.0000,-0.3500,0.3500,0,6.912
0.0000,-0.3000,0.3500,0,8.066
-0.0500,-0.2500,0.3500,0,6.163
-0.0500,-0.2000,0.3500,0,6.802
-0.1000,-0.1500,0.3500,0,6.662
-0.0500,-0.1000,0.3500,0,6.820
0.0500,-0.4000,0.3500,0,6.922
0.0500,-0.3000,0.3500,0,7.041
0.1000,-0.3500,0.3500,0,7.695
0.1000,-0.3000,0.3500,0,7.713
0.0500,-0.2500,0.3500,0,6.555
0.1000,-0.2500,0.3500,0,8.022
0.1000,-0.2000,0.3500,0,6.586
0.0500,-0.1000,0.3500,0,5.937
0.1000,-0.1500,0.3500,0,9.192
0.1000,-0.1000,0.3500,0,7.029
0.1500,-0.3000,0.3500,0,6.678
0.1500,-0.2500,0.3500,0,7.122
0.1500,-0.2000,0.3500,0,7.171
0.2000,-0.3000,0.3500,0,6.041
0.2000,-0.2500,0.3500,0,6.303
0.2000,-0.2000,0.3500,0,6.629
0.1500,-0.0500,0.3500,0,9.354
0.1500,0.0000,0.3500,0,6.634
0.2000,-0.0500,0.3500,0,6.737
-0.3000,-0.2000,0.4000,0,5.689
-0.3000,-0.1500,0.4000,0,6.668
-0.3000,-0.1000,0.4000,0,5.858
-0.2500,-0.3000,0.4000,0,6.816
-0.2000,-0.4000,0.4000,0,7.346
-0.2000,-0.3500,0.4000,0,6.546
-0.2000,-0.3000,0.4000,0,9.910
-0.3000,-0.2500,0.4000,0,6.612
-0.2500,-0.2500,0.4000,0,6.711
-0.2500,-0.2000,0.4000,0,7.204
-0.2000,-0.2500,0.4000,0,6.778
-0.2000,-0.2000,0.4000,0,7.688
-0.2500,-0.1500,0.4000,0,10.267
-0.2500,-0.1000,0.4000,0,8.576
-0.2000,-0.1500,0.4000,0,8.635
-0.2000,-0.1000,0.4000,0,12.908
-0.1500,-0.4000,0.4000,0,8.558
-0.1000,-0.4500,0.4000,0,6.811
-0.1000,-0.4000,0.4000,0,6.721
-0.1500,-0.3500,0.4000,0,7.231
-0.1500,-0.3000,0.4000,0,7.146
-0.1000,-0.3500,0.4000,0,10.101
-0.1000,-0.3000,0.4000,0,6.500
-0.1500,-0.2500,0.4000,0,6.544
-0.1500,-0.2000,0.4000,0,9.999
-0.1000,-0.2500,0.4000,0,7.046
-0.2000,-0.0500,0.4000,0,6.610
-0.2000,0.0000,0.4000,0,6.385
-0.1500,-0.1000,0.4000,0,7.591
-0.1500,0.0000,0.4000,0,9.958
-0.0500,-0.4500,0.4000,0,6.443
-0.0500,-0.4000,0.4000,0,6.658
-0.0500,-0.3500,0.4000,0,6.622
-0.0500,-0.3000,0.4000,0,6.737
-0.0500,-0.2500,0.4000,0,6.711
-0.0500,-0.2000,0.4000,0,7.170
-0.0500,-0.1000,0.4000,0,9.372
0.0500,-0.4000,0.4000,0,16.550
0.1000,-0.4500,0.4000,0,6.458
0.1000,-0.4000,0.4000,0,6.909
0.0500,-0.3000,0.4000,0,6.957
0.1000,-0.3500,0.4000,0,9.742
0.1000,-0.3000,0.4000,0,7.630
0.0500,-0.2500,0.4000,0,7.624
0.1000,-0.2500,0.4000,0,12.242
0.1000,-0.2000,0.4000,0,7.134
0.1500,-0.3000,0.4000,0,6.791
0.1500,-0.2500,0.4000,0,8.884
0.1500,-0.2000,0.4000,0,8.020
0.2000,-0.3000,0.4000,0,6.750
0.2000,-0.2000,0.4000,0,7.706
0.2000,-0.1000,0.4000,0,9.418
0.2000,-0.3500,0.4000,0,6.555
0.2500,-0.3000,0.4000,0,6.482
0.2500,-0.2500,0.4000,0,8.834
0.3000,-0.2500,0.4000,0,7.019
0.3000,-0.2000,0.4000,0,7.393
0.3000,-0.1000,0.4000,0,7.486
-0.3500,-0.2000,0.4500,0,6.512
-0.3500,-0.1500,0.4500,0,6.531
-0.3000,-0.2000,0.4500,0,7.680
-0.3000,-0.1500,0.4500,0,6.532
-0.3000,-0.1000,0.4500,0,7.473
-0.3000,-0.3000,0.4500,0,6.410
-0.2500,-0.4000,0.4500,0,6.800
-0.2500,-0.3500,0.4500,0,6.469
-0.2500,-0.3000,0.4500,0,6.505
-0.2000,-0.4000,0.4500,0,7.443
-0.2000,-0.3500,0.4500,0,6.664
-0.2000,-0.3000,0.4500,0,8.371
-0.3000,-0.2500,0.4500,0,6.523
-0.2500,-0.2500,0.4500,0,8.180
-0.2500,-0.2000,0.4500,0,9.879
-0.2000,-0.2500,0.4500,0,9.051
-0.2000,-0.2000,0.4500,0,7.063
-0.1500,-0.4500,0.4500,0,6.524
-0.1500,-0.4000,0.4500,0,8.946
-0.1000,-0.4500,0.4500,0,6.968
-0.1000,-0.4000,0.4500,0,6.415
-0.1500,-0.3500,0.4500,0,9.711
-0.1500,-0.3000,0.4500,0,10.330
-0.1000,-0.3500,0.4500,0,8.216
-0.1000,-0.3000,0.4500,0,7.697
-0.1500,-0.2500,0.4500,0,9.942
-0.1500,-0.2000,0.4500,0,12.593
-0.1000,-0.2500,0.4500,0,7.240
-0.2000,-0.0500,0.4500,0,6.477
-0.1500,0.0000,0.4500,0,7.523
-0.0500,-0.5000,0.4500,0,6.554
-0.0500,-0.4500,0.4500,0,6.783
-0.0500,-0.4000,0.4500,0,6.736
0.0500,-0.5000,0.4500,0,6.482
0.0500,-0.4500,0.4500,0,6.689
0.0500,-0.4000,0.4500,0,7.278
0.1000,-0.4000,0.4500,0,8.951
0.0500,-0.3000,0.4500,0,35.563
0.0000,-0.2000,0.4500,0,6.731
0.0500,-0.2000,0.4500,0,8.076
0.1000,-0.2500,0.4500,0,12.494
0.1000,-0.2000,0.4500,0,7.892
0.1500,-0.4500,0.4500,0,6.887
