x,y,z,success,elapsed_ms
-0.1500,-0.2000,0.3000,0,11.194
-0.1000,-0.2500,0.3000,0,7.980
-0.1000,-0.2000,0.3000,0,7.402
-0.1500,-0.1000,0.3000,0,6.947
-0.1000,-0.1000,0.3000,0,6.938
-0.1000,-0.0500,0.3000,0,6.179
-0.0500,-0.3000,0.3000,0,6.686
-0.0500,-0.2500,0.3000,0,6.781
-0.0500,-0.2000,0.3000,0,7.323
-0.1000,-0.1500,0.3000,0,6.457
-0.0500,-0.1500,0.3000,0,6.564
-0.0500,-0.1000,0.3000,0,9.118
0.0500,-0.3000,0.3000,0,7.732
0.0500,-0.2500,0.3000,0,6.247
0.0500,-0.2000,0.3000,0,9.015
0.1000,-0.2500,0.3000,0,6.426
0.1000,-0.2000,0.3000,0,6.477
0.0500,-0.1500,0.3000,0,10.173
0.0500,-0.1000,0.3000,0,8.126
0.1000,-0.1500,0.3000,0,6.393
0.1000,-0.0500,0.3000,0,6.883
0.1500,-0.1000,0.3000,0,7.444
-0.2500,-0.2000,0.3500,0,6.751
-0.2500,-0.1500,0.3500,0,6.724
-0.2500,-0.1000,0.3500,0,7.225
-0.2000,-0.1500,0.3500,0,7.600
-0.2000,-0.1000,0.3500,0,6.730
-0.2000,-0.3000,0.3500,0,6.428
-0.1500,-0.3500,0.3500,0,9.859
-0.1500,-0.3000,0.3500,0,9.139
-0.1000,-0.3500,0.3500,0,7.727
-0.2000,-0.2500,0.3500,0,6.729
-0.1500,-0.2500,0.3500,0,6.647
-0.1500,-0.2000,0.3500,0,6.490
-0.1000,-0.2500,0.3500,0,7.564
-0.1000,-0.2000,0.3500,0,6.469
-0.2000,-0.0500,0.3500,0,6.594
-0.1500,-0.1000,0.3500,0,7.419
-0.1500,-0.0500,0.3500,0,6.441
-0.1500,0.0000,0.3500,0,6.817
-0.1000,-0.1000,0.3500,0,6.874
-0.0500,-0.4000,0.3500,0,6.779
-0.0500,-0.3500,0.3500,0,8.792
-0.0500,-0.3000,0.3500,0,6.477
0.0000,-0.3500,0.3500,0,6.839
0.0000,-0.3000,0.3500,0,9.141
-0.0500,-0.2500,0.3500,0,6.187
-0.0500,-0.2000,0.3500,0,6.597
-0.1000,-0.1500,0.3500,0,6.557
-0.0500,-0.1000,0.3500,0,6.403
0.0500,-0.4000,0.3500,0,6.143
0.0500,-0.3000,0.3500,0,6.505
0.1000,-0.3500,0.3500,0,6.734
0.1000,-0.3000,0.3500,0,8.340
0.0500,-0.2500,0.3500,0,6.553
0.1000,-0.2500,0.3500,0,8.693
0.1000,-0.2000,0.3500,0,6.436
0.0500,-0.1000,0.3500,0,6.486
0.1000,-0.1500,0.3500,0,6.499
0.1000,-0.1000,0.3500,0,6.495
0.1500,-0.3000,0.3500,0,6.517
0.1500,-0.2500,0.3500,0,8.645
0.1500,-0.2000,0.3500,0,7.057
0.2000,-0.3000,0.3500,0,5.785
0.2000,-0.2500,0.3500,0,6.110
0.2000,-0.2000,0.3500,0,9.184
0.1500,-0.0500,0.3500,0,6.510
0.1500,0.0000,0.3500,0,6.951
0.2000,-0.0500,0.3500,0,13.707
-0.3000,-0.2000,0.4000,0,6.641
-0.3000,-0.1500,0.4000,0,6.646
-0.3000,-0.1000,0.4000,0,6.540
-0.2500,-0.3000,0.4000,0,8.918
-0.2000,-0.4000,0.4000,0,6.632
-0.2000,-0.3500,0.4000,0,9.070
-0.2000,-0.3000,0.4000,0,6.974
-0.3000,-0.2500,0.4000,0,6.643
-0.2500,-0.2500,0.4000,0,9.686
-0.2500,-0.2000,0.4000,0,7.598
-0.2000,-0.2500,0.4000,0,7.042
-0.2000,-0.2000,0.4000,0,6.470
-0.2500,-0.1500,0.4000,0,9.169
-0.2500,-0.1000,0.4000,0,6.787
-0.2000,-0.1500,0.4000,0,6.742
-0.2000,-0.1000,0.4000,0,7.176
-0.1500,-0.4000,0.4000,0,6.480
-0.1000,-0.4500,0.4000,0,6.461
-0.1000,-0.4000,0.4000,0,7.289
-0.1500,-0.3500,0.4000,0,12.017
-0.1500,-0.3000,0.4000,0,7.119
-0.1000,-0.3500,0.4000,0,6.604
-0.1000,-0.3000,0.4000,0,7.095
-0.1500,-0.2500,0.4000,0,8.281
-0.1500,-0.2000,0.4000,0,8.223
-0.1000,-0.2500,0.4000,0,6.517
-0.2000,-0.0500,0.4000,0,6.226
-0.2000,0.0000,0.4000,0,6.454
-0.1500,-0.1000,0.4000,0,6.682
-0.1500,0.0000,0.4000,0,11.990
-0.0500,-0.4500,0.4000,0,6.494
-0.0500,-0.4000,0.4000,0,7.694
-0.0500,-0.3500,0.4000,0,10.038
-0.0500,-0.3000,0.4000,0,6.097
-0.0500,-0.2500,0.4000,0,11.917
-0.0500,-0.2000,0.4000,0,6.728
-0.0500,-0.1000,0.4000,0,6.676
0.0500,-0.4000,0.4000,0,6.703
0.1000,-0.4500,0.4000,0,7.242
0.1000,-0.4000,0.4000,0,8.881
0.0500,-0.3000,0.4000,0,6.069
0.1000,-0.3500,0.4000,0,6.477
0.1000,-0.3000,0.4000,0,9.495
0.0500,-0.2500,0.4000,0,6.948
0.1000,-0.2500,0.4000,0,7.867
0.1000,-0.2000,0.4000,0,7.022
0.1500,-0.3000,0.4000,0,11.350
0.1500,-0.2500,0.4000,0,7.257
0.1500,-0.2000,0.4000,0,6.881
0.2000,-0.3000,0.4000,0,8.927
0.2000,-0.2000,0.4000,0,10.587
0.2000,-0.1000,0.4000,0,10.040
0.2000,-0.3500,0.4000,0,6.450
0.2500,-0.3000,0.4000,0,12.788
0.2500,-0.2500,0.4000,0,7.665
0.3000,-0.2500,0.4000,0,7.012
0.3000,-0.2000,0.4000,0,6.536
0.3000,-0.1000,0.4000,0,7.358
-0.3500,-0.2000,0.4500,0,10.189
-0.3500,-0.1500,0.4500,0,7.049
-0.3000,-0.2000,0.4500,0,6.505
-0.3000,-0.1500,0.4500,0,7.315
-0.3000,-0.1000,0.4500,0,6.461
-0.3000,-0.3000,0.4500,0,11.374
-0.2500,-0.4000,0.4500,0,7.628
-0.2500,-0.3500,0.4500,0,10.703
-0.2500,-0.3000,0.4500,0,6.515
-0.2000,-0.4000,0.4500,0,9.996
-0.2000,-0.3500,0.4500,0,6.484
-0.2000,-0.3000,0.4500,0,7.923
-0.3000,-0.2500,0.4500,0,6.497
-0.2500,-0.2500,0.4500,0,6.943
-0.2500,-0.2000,0.4500,0,8.194
-0.2000,-0.2500,0.4500,0,7.889
-0.2000,-0.2000,0.4500,0,7.875
-0.1500,-0.4500,0.4500,0,6.734
-0.1500,-0.4000,0.4500,0,12.381
-0.1000,-0.4500,0.4500,0,11.196
-0.1000,-0.4000,0.4500,0,6.340
-0.1500,-0.3500,0.4500,0,8.093
-0.1500,-0.3000,0.4500,0,7.043
-0.1000,-0.3500,0.4500,0,6.425
-0.1000,-0.3000,0.4500,0,10.563
-0.1500,-0.2500,0.4500,0,6.608
-0.1500,-0.2000,0.4500,0,5.837
-0.1000,-0.2500,0.4500,0,7.510
-0.2000,-0.0500,0.4500,0,7.387
-0.1500,0.0000,0.4500,0,6.508
-0.0500,-0.5000,0.4500,0,7.145
-0.0500,-0.4500,0.4500,0,6.873
-0.0500,-0.4000,0.4500,0,6.780
0.0500,-0.5000,0.4500,0,6.853
0.0500,-0.4500,0.4500,0,7.349
0.0500,-0.4000,0.4500,0,6.951
0.1000,-0.4000,0.4500,0,8.182
0.0500,-0.3000,0.4500,0,7.169
0.0000,-0.2000,0.4500,0,6.603
0.0500,-0.2000,0.4500,0,6.915
0.1000,-0.2500,0.4500,0,12.996
0.1000,-0.2000,0.4500,0,6.216
0.1500,-0.4500,0.4500,0,6.639
0.1500,-0.4000,0.4500,0,7.657
0.2000,-0.4000,0.4500,0,11.364
0.3000,-0.3000,0.4500,0,6.796
0.2500,-0.2500,0.4500,0,7.153
0.3000,-0.2500,0.4500,0,6.828
0.3000,-0.1500,0.4500,0,8.600
0.3500,-0.2000,0.4500,0,11.820
0.3500,-0.1500,0.4500,0,6.063
0.3500,-0.1000,0.4500,0,7.993
-0.3500,-0.3000,0.5000,0,9.290
-0.3000,-0.3500,0.5000,0,7.819
-0.3000,-0.3000,0.5000,0,6.554
-0.3500,-0.2500,0.5000,0,7.393
-0.3500,-0.2000,0.5000,0,9.541
-0.3000,-0.2500,0.5000,0,6.570
-0.3000,-0.2000,0.5000,0,9.738
-0.3500,-0.1500,0.5000,0,6.413
-0.3500,-0.1000,0.5000,0,6.406
-0.3000,-0.1500,0.5000,0,8.172
-0.3000,-0.1000,0.5000,0,7.010
-0.3500,-0.0500,0.5000,0,6.684
-0.3000,-0.0500,0.5000,0,8.112
-0.2500,-0.4500,0.5000,0,6.806
-0.2500,-0.4000,0.5000,0,6.459
-0.2000,-0.4500,0.5000,0,7.595
-0.2000,-0.4000,0.5000,0,6.736
-0.2500,-0.3000,0.5000,0,10.702
-0.2000,-0.3500,0.5000,0,11.937
-0.2000,-0.3000,0.5000,0,7.104
-0.2500,-0.2500,0.5000,0,9.238
-0.2000,-0.2500,0.5000,0,6.982
-0.2000,-0.2000,0.5000,0,6.428
-0.2500,-0.1500,0.5000,0,7.685
-0.2500,-0.1000,0.5000,0,7.781
-0.2000,-0.1500,0.5000,0,8.531
-0.2000,-0.1000,0.5000,0,8.769
-0.2500,-0.0500,0.5000,0,12.552
-0.2000,-0.0500,0.5000,1,2.589
-0.2000,0.0000,0.5000,1,4.513
-0.1500,-0.5000,0.5000,0,7.732
-0.1500,-0.4500,0.5000,0,11.167
-0.1500,-0.4000,0.5000,0,10.523
-0.1000,-0.5000,0.5000,0,11.689
-0.1000,-0.4500,0.5000,0,10.595
-0.1000,-0.4000,0.5000,0,9.854
-0.1500,-0.3500,0.5000,0,6.521
-0.1500,-0.3000,0.5000,0,8.503
-0.1000,-0.3500,0.5000,0,6.936
-0.1000,-0.3000,0.5000,0,11.075
-0.1500,-0.2500,0.5000,0,9.311
-0.1500,-0.2000,0.5000,0,5.791
-0.1000,-0.2500,0.5000,0,6.947
-0.1000,-0.2000,0.5000,0,7.307
-0.1500,-0.1500,0.5000,0,10.617
-0.1500,-0.1000,0.5000,0,9.593
-0.1000,-0.1000,0.5000,0,10.552
-0.1500,-0.0500,0.5000,1,5.733
-0.1500,0.0000,0.5000,0,7.735
-0.1000,-0.0500,0.5000,0,8.259
-0.0500,-0.5000,0.5000,0,9.913
-0.0500,-0.4500,0.5000,0,10.513
-0.0500,-0.4000,0.5000,0,9.756
