x,y,z,success,orient_name,qx,qy,qz,qw,ompl_ms,motion_ms,total_ms
-0.1500,-0.2000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,6.83,2332.98,2339.82
-0.1000,-0.2500,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,5.13,832.57,837.70
-0.1000,-0.2000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.50,833.18,837.68
-0.1500,-0.1000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.84,1178.01,1182.85
-0.1000,-0.1000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,5.04,1019.92,1024.97
-0.1000,-0.0500,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,3.86,854.88,858.74
-0.0500,-0.3000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,5.77,1518.99,1524.76
-0.0500,-0.2500,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.97,981.76,986.73
-0.0500,-0.2000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.06,833.17,837.23
-0.1000,-0.1500,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.74,799.81,804.55
-0.0500,-0.1500,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,3.61,701.61,705.23
-0.0500,-0.1000,0.3000,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.65,752.86,757.52
0.0500,-0.3000,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,7.89,3199.62,3207.51
0.0500,-0.2500,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.96,973.49,978.45
0.0500,-0.2000,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,5.17,841.72,846.89
0.1000,-0.2500,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.64,974.33,978.97
0.1000,-0.2000,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.60,833.83,838.43
0.0500,-0.1500,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.49,872.89,877.38
0.0500,-0.1000,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,3.71,753.56,757.26
0.1000,-0.1500,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.40,801.83,806.23
0.1000,-0.0500,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,5.01,1112.97,1117.98
0.1500,-0.1000,0.3000,1,top_down,0.0000,0.7070,0.0000,0.7070,4.46,839.36,843.83
-0.2500,-0.2000,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,6.98,2740.35,2747.32
-0.2500,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,3.54,754.11,757.65
-0.2500,-0.1000,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.53,794.29,798.83
-0.2000,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,5.42,1384.18,1389.60
-0.2000,-0.1000,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.30,759.04,763.34
-0.2000,-0.3000,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,5.01,1542.38,1547.39
-0.1500,-0.3500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,3.81,715.15,718.96
-0.1500,-0.3000,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,4.77,1121.78,1126.55
