x,y,z,success,orient_name,qx,qy,qz,qw,ompl_ms,motion_ms,total_ms
-0.2500,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,47.89,3634.39,3682.28
-0.1500,-0.3500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,28.38,1659.78,1688.15
-0.1500,-0.2500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,36.14,2640.59,2676.73
-0.1500,-0.0500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,36.30,1473.27,1509.57
-0.0500,-0.3500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,73.85,2517.36,2591.21
-0.0500,-0.2500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,46.50,1359.02,1405.52
-0.0500,-0.1500,0.3500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,78.54,2441.31,2519.86
0.0500,-0.3500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,52.91,3221.09,3274.00
0.0500,-0.2500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,69.20,3716.79,3785.99
0.0500,-0.1500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,57.42,1216.79,1274.21
0.1500,-0.2500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,58.29,1376.18,1434.47
0.1500,-0.0500,0.3500,1,top_down,0.0000,0.7070,0.0000,0.7070,51.37,1497.42,1548.79
-0.3500,-0.1500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,49.01,2739.80,2788.81
-0.2500,-0.3500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,40.01,1753.87,1793.89
-0.2500,-0.2500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,68.40,3921.49,3989.89
-0.1500,-0.4500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,40.97,1839.27,1880.24
-0.1500,-0.3500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,47.27,1680.00,1727.27
-0.1500,-0.2500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,39.90,1999.96,2039.86
-0.1500,-0.0500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,55.18,1537.70,1592.88
-0.0500,-0.4500,0.4500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,49.26,2299.38,2348.64
0.0500,-0.4500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,50.05,3479.78,3529.83
0.0500,-0.3500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,91.25,3639.61,3730.86
0.0500,-0.2500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,63.28,3660.49,3723.77
0.1500,-0.4500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,68.80,2216.93,2285.73
0.2500,-0.3500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,36.56,1254.22,1290.78
0.2500,-0.2500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,102.18,1383.02,1485.20
0.3500,-0.1500,0.4500,1,top_down,0.0000,0.7070,0.0000,0.7070,98.15,1835.26,1933.41
-0.3500,-0.3500,0.5500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,64.96,3180.29,3245.25
-0.3500,-0.2500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,42.11,2360.09,2402.20
-0.3500,-0.1500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,46.69,1663.11,1709.80
-0.3500,-0.0500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,33.23,1554.13,1587.36
-0.2500,-0.4500,0.5500,1,bottom_up,0.0000,-0.7070,0.0000,0.7070,37.86,2260.00,2297.86
-0.2500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.27,2898.45,2942.72
-0.2500,-0.2500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,50.27,2076.91,2127.18
-0.2500,-0.1500,0.5500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,42.23,1375.32,1417.55
-0.2500,-0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,31.01,1976.99,2008.00
-0.2500,0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,36.93,1260.89,1297.83
-0.1500,-0.4500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,42.92,3180.07,3222.99
-0.1500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,27.01,1520.68,1547.69
