x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,29.16,0.00,1215.44,1244.60,0,3.4638
0.1025,-0.2859,0.4256,1,36.27,0.00,1382.18,1418.45,0,1.7636
0.1025,-0.2859,0.4256,1,28.35,0.00,1739.84,1768.19,0,3.5325
0.1025,-0.2859,0.4256,1,25.59,0.00,633.85,659.44,0,0.4487
0.1025,-0.2859,0.4256,1,35.86,0.00,2261.18,2297.04,0,5.3018
0.1025,-0.2859,0.4256,1,22.14,0.00,656.36,678.50,0,0.3044
0.1025,-0.2860,0.4257,1,22.03,0.00,336.78,358.81,0,0.0675
0.1025,-0.2860,0.4257,1,23.48,0.00,2375.55,2399.03,0,5.7802
0.1025,-0.2860,0.4257,1,48.98,0.00,1579.70,1628.68,0,2.9565
0.1025,-0.2860,0.4257,1,38.66,0.00,1598.41,1637.08,0,3.0258
0.1025,-0.2860,0.4257,1,28.66,0.00,1059.99,1088.65,0,1.3235
0.1026,-0.2859,0.4257,1,21.99,0.00,215.90,237.89,0,0.0269
0.1026,-0.2859,0.4257,1,40.66,0.00,177.84,218.50,0,0.0120
0.1026,-0.2859,0.4257,1,34.62,0.00,353.94,388.56,0,0.1173
0.1026,-0.2859,0.4257,1,32.25,0.00,2035.95,2068.20,0,4.8526
0.1026,-0.2860,0.4257,1,29.94,0.00,2017.92,2047.85,0,3.3909
0.1026,-0.2860,0.4257,1,33.57,0.00,1854.78,1888.36,0,2.7302
0.1026,-0.2860,0.4257,1,33.52,0.00,1615.36,1648.89,0,2.8560
0.1026,-0.2860,0.4257,1,27.52,0.00,901.30,928.82,0,0.9697
0.1026,-0.2860,0.4257,1,22.68,0.00,594.68,617.37,0,0.3994
0.1027,-0.2859,0.4257,1,20.27,0.00,538.11,558.38,0,0.3226
0.1027,-0.2860,0.4258,1,31.19,0.00,1296.85,1328.04,0,2.0032
0.1024,-0.2865,0.4259,1,17.87,0.00,161.00,178.86,0,0.0175
0.1032,-0.2859,0.4259,1,28.45,0.00,140.62,169.07,0,0.0064
0.1035,-0.2860,0.4261,1,22.30,0.00,335.27,357.57,0,0.1110
0.1021,-0.2877,0.4264,1,40.34,0.00,1937.36,1977.70,0,4.4708
0.1021,-0.2894,0.4272,1,39.92,0.00,918.67,958.59,0,0.8837
0.1046,-0.2857,0.4283,1,32.50,0.00,675.83,708.33,0,0.4435
0.1020,-0.2916,0.4283,1,30.64,0.00,617.75,648.39,0,0.3394
0.2505,-0.1510,0.4291,1,49.74,0.00,2138.01,2187.75,0,3.8082
0.1013,-0.2938,0.4292,1,34.09,0.00,1895.82,1929.91,0,3.4312
0.2511,-0.1508,0.4297,1,43.79,0.00,1493.72,1537.51,0,4.8926
0.2512,-0.1498,0.4298,1,18.31,0.00,1419.98,1438.28,0,1.8286
0.2513,-0.1510,0.4299,1,26.85,0.00,1481.96,1508.81,0,1.9910
0.2513,-0.1510,0.4299,1,33.07,0.00,135.30,168.37,0,0.0064
0.2513,-0.1510,0.4299,1,17.30,0.00,660.28,677.58,0,0.3906
0.2513,-0.1510,0.4299,1,20.93,0.00,656.96,677.89,0,0.3924
0.2513,-0.1508,0.4299,1,20.58,0.00,317.73,338.32,0,0.0893
0.2513,-0.1508,0.4299,1,39.04,0.00,1780.37,1819.41,0,2.9283
0.2513,-0.1508,0.4299,1,30.75,0.00,1437.46,1468.21,0,1.9719
0.2513,-0.1508,0.4299,1,29.80,0.00,1618.10,1647.90,0,2.4970
0.2513,-0.1508,0.4299,1,32.66,0.00,1855.61,1888.27,0,3.2505
0.2513,-0.1508,0.4299,1,25.45,0.00,1363.36,1388.81,0,1.6749
0.2355,-0.2925,0.4300,1,29.58,0.00,1779.20,1808.77,0,2.2504
0.0356,-0.2784,0.4302,1,28.84,0.00,1517.83,1546.67,0,3.2092
0.2376,-0.2928,0.4302,1,43.48,0.00,1534.27,1577.75,0,2.1487
0.1010,-0.2959,0.4302,1,39.77,0.00,1519.26,1559.03,0,2.8283
0.0384,-0.3475,0.4303,1,34.57,0.00,1134.42,1168.99,0,2.4568
0.0707,-0.2575,0.4305,1,33.27,0.00,954.95,988.22,0,1.3808
0.2519,-0.1510,0.4305,1,29.93,0.00,1359.42,1389.35,0,2.3776
0.0705,-0.2580,0.4306,1,38.45,0.00,1359.02,1397.47,0,4.1807
0.1029,-0.2474,0.4307,1,32.88,0.00,715.06,747.94,0,0.5545
0.1029,-0.2474,0.4307,1,34.40,0.00,2014.04,2048.44,0,3.9094
0.0715,-0.2576,0.4307,1,37.77,0.00,1600.04,1637.81,0,2.0715
0.1031,-0.2474,0.4307,1,47.39,0.00,2141.26,2188.65,0,5.5741
