x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,37.03,0.00,2179.74,2216.76,0,3.4939
0.1025,-0.2859,0.4256,1,32.84,0.00,397.01,429.85,0,0.1596
0.1025,-0.2859,0.4256,1,36.06,0.00,1323.96,1360.02,0,1.9930
0.1025,-0.2859,0.4256,1,22.45,0.00,364.35,386.80,0,0.1178
0.1025,-0.2859,0.4256,1,23.27,0.00,1202.08,1225.36,0,1.6013
0.1025,-0.2859,0.4256,1,30.17,0.00,1301.72,1331.89,0,1.9708
0.1025,-0.2859,0.4256,1,39.09,0.00,1717.53,1756.62,0,3.5010
0.1025,-0.2859,0.4256,1,22.18,0.00,237.38,259.57,0,0.0452
0.1025,-0.2859,0.4256,1,21.55,0.00,184.56,206.11,0,0.0126
0.1025,-0.2859,0.4256,1,28.63,0.00,1580.61,1609.25,0,2.9388
0.1025,-0.2859,0.4256,1,36.49,0.00,1583.44,1619.93,0,2.9422
0.1025,-0.2859,0.4256,1,30.07,0.00,219.37,249.44,0,0.0340
0.1025,-0.2859,0.4256,1,36.59,0.00,781.12,817.71,0,0.6352
0.1025,-0.2859,0.4256,1,43.93,0.00,2804.70,2848.62,0,7.4749
0.1025,-0.2859,0.4256,1,42.53,0.00,155.63,198.16,0,0.0104
0.1025,-0.2859,0.4256,1,32.04,0.00,2116.81,2148.85,0,3.7437
0.1025,-0.2859,0.4256,1,31.61,0.00,514.73,546.34,0,0.2171
0.1025,-0.2859,0.4256,1,45.97,0.00,1745.58,1791.55,0,2.6033
0.1025,-0.2859,0.4256,1,30.16,0.00,2177.72,2207.88,0,4.5648
0.1025,-0.2859,0.4256,1,25.08,0.00,743.67,768.75,0,0.5711
0.1025,-0.2859,0.4256,1,23.26,0.00,1649.60,1672.86,0,2.8646
0.1025,-0.2859,0.4256,1,27.00,0.00,576.03,603.03,0,0.2569
0.1025,-0.2859,0.4256,1,26.42,0.00,182.51,208.93,0,0.0222
0.1025,-0.2859,0.4256,1,46.35,0.00,1922.80,1969.15,0,3.9713
0.1025,-0.2859,0.4256,1,34.36,0.00,1704.90,1739.26,0,3.2681
0.1025,-0.2859,0.4256,1,34.64,0.00,580.21,614.85,0,0.2806
0.1025,-0.2859,0.4256,1,24.13,0.00,1324.75,1348.88,0,1.8764
0.1025,-0.2859,0.4256,1,33.21,0.00,964.75,997.96,0,1.0560
0.1025,-0.2859,0.4256,1,48.32,0.00,1362.19,1410.52,0,2.1493
0.1025,-0.2859,0.4256,1,11.71,0.00,589.32,601.02,0,0.3105
0.1025,-0.2859,0.4256,1,36.14,0.00,233.62,269.75,0,0.0294
0.1025,-0.2859,0.4256,1,19.52,0.00,443.31,462.84,0,0.1776
0.1025,-0.2859,0.4256,1,31.47,0.00,417.67,449.14,0,0.1649
0.1025,-0.2859,0.4256,1,23.33,0.00,164.21,187.54,0,0.0095
0.1025,-0.2859,0.4256,1,22.26,0.00,195.49,217.75,0,0.0129
0.1025,-0.2859,0.4256,1,32.05,0.00,178.28,210.33,0,0.0178
0.1025,-0.2859,0.4256,1,31.81,0.00,174.29,206.10,0,0.0188
0.1025,-0.2859,0.4256,1,29.64,0.00,1780.09,1809.73,0,3.7184
0.1025,-0.2859,0.4256,1,13.20,0.00,817.02,830.22,0,0.6896
0.1025,-0.2859,0.4256,1,32.75,0.00,1579.97,1612.71,0,2.6141
0.1025,-0.2859,0.4256,1,41.20,0.00,1741.37,1782.57,0,3.1550
0.1025,-0.2859,0.4256,1,46.96,0.00,1422.20,1469.16,0,2.3418
0.1025,-0.2859,0.4256,1,31.55,0.00,1275.80,1307.35,0,1.8714
0.1025,-0.2859,0.4256,1,29.52,0.00,951.46,980.98,0,1.0380
0.1025,-0.2859,0.4256,1,43.97,0.00,823.75,867.72,0,0.6976
0.1025,-0.2859,0.4256,1,40.95,0.00,1998.71,2039.66,0,3.7520
0.1025,-0.2859,0.4256,1,21.81,0.00,374.45,396.27,0,0.0855
0.1025,-0.2859,0.4256,1,56.31,0.00,1204.16,1260.47,0,1.0918
0.1025,-0.2859,0.4256,1,16.61,0.00,800.65,817.26,0,0.5232
0.1025,-0.2859,0.4256,1,32.05,0.00,236.44,268.50,0,0.0330
0.1025,-0.2859,0.4256,1,33.82,0.00,2243.42,2277.24,0,5.3978
0.1025,-0.2859,0.4256,1,20.79,0.00,243.02,263.81,0,0.0342
0.1025,-0.2859,0.4256,1,31.31,0.00,243.90,275.21,0,0.0325
0.1025,-0.2859,0.4256,1,42.46,0.00,1477.69,1520.15,0,2.5071
0.1025,-0.2859,0.4256,1,39.61,0.00,1456.38,1495.99,0,2.2919
0.1025,-0.2859,0.4256,1,22.92,0.00,640.62,663.54,0,0.3527
0.1025,-0.2859,0.4256,1,32.64,0.00,923.08,955.72,0,0.7952
0.1025,-0.2859,0.4256,1,53.23,0.00,1283.54,1336.77,0,1.7598
0.1025,-0.2859,0.4256,1,26.66,0.00,1581.32,1607.98,0,2.6726
0.1025,-0.2859,0.4256,1,46.09,0.00,1062.98,1109.07,0,1.0927
0.1025,-0.2859,0.4256,1,39.52,0.00,1510.57,1550.09,0,2.6826
0.1025,-0.2859,0.4256,1,33.39,0.00,2302.76,2336.15,0,5.3820
0.1025,-0.2859,0.4256,1,36.57,0.00,882.29,918.87,0,0.5137
0.1025,-0.2859,0.4256,1,30.04,0.00,1159.57,1189.61,0,0.8908
0.1025,-0.2859,0.4256,1,55.40,0.00,2820.10,2875.50,0,7.5835
0.1025,-0.2859,0.4256,1,43.59,0.00,655.72,699.31,0,0.4583
0.1025,-0.2859,0.4256,1,20.43,0.00,258.98,279.41,0,0.0521
0.1025,-0.2859,0.4256,1,21.45,0.00,216.65,238.10,0,0.0310
0.1025,-0.2859,0.4256,1,19.86,0.00,319.15,339.01,0,0.0758
0.1025,-0.2859,0.4256,1,41.30,0.00,2036.42,2077.72,0,4.7412
0.1025,-0.2859,0.4256,1,19.67,0.00,539.16,558.84,0,0.2520
0.1025,-0.2859,0.4256,1,27.33,0.00,1641.60,1668.93,0,2.3894
0.1025,-0.2859,0.4256,1,41.52,0.00,1837.53,1879.05,0,3.2532
0.1025,-0.2859,0.4256,1,40.08,0.00,338.62,378.71,0,0.0909
0.1025,-0.2859,0.4256,1,31.69,0.00,1315.23,1346.91,0,1.7554
0.1025,-0.2860,0.4257,1,21.16,0.00,357.42,378.58,0,0.0881
0.1025,-0.2860,0.4257,1,33.30,0.00,1015.73,1049.03,0,0.9648
0.1025,-0.2860,0.4257,1,29.81,0.00,1298.24,1328.06,0,1.8429
0.1025,-0.2860,0.4257,1,21.78,0.00,576.63,598.41,0,0.3227
0.1025,-0.2860,0.4257,1,32.85,0.00,1597.12,1629.97,0,3.0046
0.1025,-0.2860,0.4257,1,39.76,0.00,178.16,217.91,0,0.0074
0.1025,-0.2860,0.4257,1,11.60,0.00,216.58,228.18,0,0.0149
0.1025,-0.2860,0.4257,1,30.26,0.00,138.20,168.46,0,0.0058
0.1025,-0.2860,0.4257,1,20.96,0.00,217.38,238.34,0,0.0161
0.1025,-0.2860,0.4257,1,50.16,0.00,2058.44,2108.60,0,4.8564
0.1025,-0.2860,0.4257,1,29.34,0.00,1203.06,1232.40,0,1.5082
0.1025,-0.2860,0.4257,1,30.60,0.00,1164.21,1194.81,0,1.3807
0.1025,-0.2860,0.4257,1,30.88,0.00,477.27,508.16,0,0.1797
0.1025,-0.2860,0.4257,1,12.26,0.00,513.99,526.24,0,0.2258
0.1025,-0.2860,0.4257,1,31.39,0.00,2039.32,2070.71,0,4.7323
0.1025,-0.2860,0.4257,1,13.30,0.00,294.85,308.15,0,0.0648
0.1025,-0.2860,0.4257,1,25.09,0.00,1903.86,1928.95,0,4.2535
0.1025,-0.2860,0.4257,1,39.29,0.00,1894.38,1933.68,0,4.2633
0.1025,-0.2860,0.4257,1,29.38,0.00,1754.01,1783.39,0,3.7155
0.1025,-0.2860,0.4257,1,36.93,0.00,2341.39,2378.32,0,4.8074
0.1025,-0.2860,0.4257,1,39.93,0.00,2218.60,2258.53,0,4.1728
0.1025,-0.2860,0.4257,1,32.15,0.00,1335.74,1367.89,0,1.9932
0.1025,-0.2860,0.4257,1,39.27,0.00,1638.68,1677.95,0,2.9160
0.1025,-0.2860,0.4257,1,11.54,0.00,637.52,649.05,0,0.3404
0.1025,-0.2860,0.4257,1,28.34,0.00,1540.63,1568.97,0,1.9008
0.1025,-0.2860,0.4257,1,34.50,0.00,1554.30,1588.80,0,1.9562
0.1025,-0.2860,0.4257,1,25.27,0.00,1303.15,1328.42,0,1.6704
0.1025,-0.2860,0.4257,1,33.00,0.00,1013.55,1046.55,0,1.0954
0.1025,-0.2860,0.4257,1,32.67,0.00,737.48,770.14,0,0.5848
0.1025,-0.2860,0.4257,1,32.84,0.00,975.91,1008.75,0,0.9804
0.1025,-0.2860,0.4257,1,29.08,0.00,638.39,667.47,0,0.3768
0.1025,-0.2860,0.4257,1,30.11,0.00,2139.64,2169.75,0,4.0629
0.1025,-0.2860,0.4257,1,21.64,0.00,475.83,497.47,0,0.1264
0.1025,-0.2860,0.4257,1,32.72,0.00,2396.76,2429.48,0,5.4741
0.1025,-0.2860,0.4257,1,30.65,0.00,1620.04,1650.69,0,2.8432
0.1025,-0.2860,0.4257,1,39.04,0.00,1496.85,1535.89,0,2.3711
0.1025,-0.2860,0.4257,1,26.23,0.00,943.01,969.24,0,0.9106
0.1025,-0.2860,0.4257,1,19.87,0.00,397.35,417.22,0,0.1271
0.1025,-0.2860,0.4257,1,32.55,0.00,1015.09,1047.64,0,1.0246
0.1025,-0.2860,0.4257,1,30.84,0.00,518.27,549.12,0,0.2136
0.1025,-0.2860,0.4257,1,31.00,0.00,1639.26,1670.26,0,3.0594
0.1025,-0.2860,0.4257,1,45.63,0.00,1842.02,1887.66,0,3.6372
0.1025,-0.2860,0.4257,1,31.45,0.00,1756.05,1787.51,0,3.3611
0.1025,-0.2860,0.4257,1,41.12,0.00,1656.53,1697.66,0,2.9706
0.1025,-0.2860,0.4257,1,35.20,0.00,1516.77,1551.97,0,2.5313
0.1025,-0.2860,0.4257,1,27.04,0.00,699.90,726.94,0,0.5074
0.1025,-0.2860,0.4257,1,38.58,0.00,659.20,697.77,0,0.4568
0.1025,-0.2860,0.4257,1,35.42,0.00,662.81,698.23,0,0.4470
0.1025,-0.2860,0.4257,1,21.68,0.00,539.54,561.21,0,0.2718
0.1025,-0.2860,0.4257,1,32.39,0.00,1583.21,1615.60,0,2.7203
0.1025,-0.2860,0.4257,1,36.57,0.00,2082.35,2118.91,0,4.8829
0.1025,-0.2860,0.4257,1,41.77,0.00,216.77,258.53,0,0.0187
0.1025,-0.2860,0.4257,1,37.68,0.00,1901.94,1939.61,0,4.2408
0.1025,-0.2860,0.4257,1,33.97,0.00,2225.09,2259.06,0,4.2358
0.1025,-0.2860,0.4257,1,37.01,0.00,2018.47,2055.48,0,3.3244
0.1025,-0.2860,0.4257,1,35.27,0.00,1164.45,1199.72,0,1.2162
0.1025,-0.2860,0.4257,1,32.55,0.00,1934.55,1967.10,0,3.9493
0.1025,-0.2860,0.4257,1,40.04,0.00,1678.41,1718.44,0,3.0512
0.1025,-0.2860,0.4257,1,50.79,0.00,1758.15,1808.94,0,3.3483
0.1025,-0.2860,0.4257,1,30.22,0.00,1339.18,1369.40,0,2.0366
0.1025,-0.2860,0.4257,1,24.96,0.00,1182.89,1207.85,0,1.5737
0.1025,-0.2860,0.4257,1,33.89,0.00,2054.88,2088.77,0,4.4847
0.1026,-0.2859,0.4257,1,40.12,0.00,2177.34,2217.46,0,5.0149
0.1026,-0.2859,0.4257,1,28.36,0.00,1341.14,1369.50,0,2.1074
0.1026,-0.2859,0.4257,1,18.38,0.00,899.90,918.28,0,0.9218
0.1026,-0.2859,0.4257,1,53.64,0.00,1758.26,1811.89,0,3.3163
0.1026,-0.2859,0.4257,1,27.73,0.00,1197.74,1225.48,0,1.4651
0.1026,-0.2859,0.4257,1,36.19,0.00,1382.81,1419.00,0,2.1863
0.1026,-0.2859,0.4257,1,40.99,0.00,1276.34,1317.33,0,1.8142
0.1026,-0.2859,0.4257,1,46.07,0.00,2061.85,2107.91,0,4.7965
0.1026,-0.2859,0.4257,1,43.08,0.00,2096.28,2139.36,0,3.5898
0.1026,-0.2859,0.4257,1,29.19,0.00,1958.90,1988.09,0,3.0259
0.1026,-0.2859,0.4257,1,14.41,0.00,514.20,528.61,0,0.2250
0.1026,-0.2859,0.4257,1,38.39,0.00,1039.69,1078.08,0,0.8575
0.1026,-0.2859,0.4257,1,23.99,0.00,934.97,958.96,0,0.7120
0.1026,-0.2859,0.4257,1,35.34,0.00,2174.61,2209.95,0,5.0550
0.1026,-0.2859,0.4257,1,30.01,0.00,1376.90,1406.92,0,2.2447
0.1026,-0.2859,0.4257,1,30.33,0.00,519.54,549.88,0,0.2661
0.1026,-0.2859,0.4257,1,28.42,0.00,1539.33,1567.75,0,2.5380
0.1026,-0.2859,0.4257,1,25.53,0.00,1726.71,1752.24,0,3.1783
0.1026,-0.2859,0.4257,1,32.85,0.00,1381.05,1413.90,0,2.1587
0.1026,-0.2859,0.4257,1,38.04,0.00,1559.68,1597.73,0,2.8310
0.1026,-0.2859,0.4257,1,10.31,0.00,499.35,509.66,0,0.2353
0.1026,-0.2859,0.4257,1,44.24,0.00,1051.45,1095.69,0,1.2210
0.1026,-0.2859,0.4257,1,19.44,0.00,160.63,180.07,0,0.0127
0.1026,-0.2859,0.4257,1,25.53,0.00,993.10,1018.63,0,0.9945
0.1026,-0.2859,0.4257,1,36.48,0.00,1362.86,1399.34,0,1.9954
0.1026,-0.2859,0.4257,1,37.06,0.00,2121.88,2158.94,0,4.3809
0.1026,-0.2859,0.4257,1,30.97,0.00,2458.20,2489.18,0,6.0878
0.1026,-0.2859,0.4257,1,27.83,0.00,1259.09,1286.91,0,1.8717
0.1026,-0.2859,0.4257,1,43.64,0.00,1534.74,1578.37,0,2.7451
0.1026,-0.2859,0.4257,1,34.99,0.00,1895.84,1930.84,0,4.2515
0.1026,-0.2859,0.4257,1,42.77,0.00,974.39,1017.17,0,0.9059
0.1026,-0.2859,0.4257,1,31.24,0.00,657.62,688.86,0,0.3814
0.1026,-0.2859,0.4257,1,21.76,0.00,216.12,237.88,0,0.0330
0.1026,-0.2859,0.4257,1,39.01,0.00,1879.82,1918.83,0,4.0339
0.1026,-0.2859,0.4257,1,41.45,0.00,2377.69,2419.14,0,5.7500
0.1026,-0.2860,0.4257,1,42.89,0.00,1615.26,1658.15,0,2.4533
0.1026,-0.2860,0.4257,1,35.20,0.00,1173.66,1208.86,0,1.3351
0.1026,-0.2860,0.4257,1,27.62,0.00,1340.39,1368.01,0,1.7652
0.1026,-0.2860,0.4257,1,34.91,0.00,1793.67,1828.58,0,3.8655
0.1026,-0.2860,0.4257,1,46.01,0.00,1502.53,1548.54,0,2.6158
0.1026,-0.2860,0.4257,1,29.18,0.00,1062.86,1092.04,0,1.3026
0.1026,-0.2860,0.4257,1,37.69,0.00,677.50,715.18,0,0.4954
0.1026,-0.2860,0.4257,1,40.08,0.00,1274.48,1314.56,0,1.8517
0.1026,-0.2860,0.4257,1,32.89,0.00,250.95,283.84,0,0.0299
0.1026,-0.2860,0.4257,1,30.95,0.00,175.36,206.31,0,0.0137
0.1026,-0.2860,0.4257,1,30.35,0.00,1838.71,1869.06,0,3.9768
0.1026,-0.2860,0.4257,1,15.92,0.00,1841.78,1857.70,0,3.9727
0.1026,-0.2860,0.4257,1,36.42,0.00,1861.92,1898.34,0,4.0833
0.1026,-0.2860,0.4257,1,14.46,0.00,674.07,688.53,0,0.4544
0.1026,-0.2860,0.4257,1,43.93,0.00,1415.80,1459.74,0,2.3943
0.1026,-0.2860,0.4257,1,38.35,0.00,1620.90,1659.25,0,3.0320
0.1026,-0.2860,0.4257,1,36.06,0.00,682.35,718.41,0,0.4269
0.1026,-0.2860,0.4257,1,28.80,0.00,1717.95,1746.75,0,3.3236
0.1026,-0.2860,0.4257,1,32.93,0.00,795.41,828.35,0,0.6967
0.1026,-0.2860,0.4257,1,45.68,0.00,2242.57,2288.25,0,5.2300
0.1026,-0.2860,0.4257,1,29.28,0.00,1859.41,1888.69,0,3.5965
0.1026,-0.2860,0.4257,1,36.58,0.00,1525.71,1562.29,0,2.6502
0.1026,-0.2860,0.4257,1,22.78,0.00,281.83,304.61,0,0.0694
0.1026,-0.2860,0.4257,1,38.49,0.00,2199.96,2238.45,0,5.2457
0.1026,-0.2860,0.4257,1,25.60,0.00,1393.36,1418.96,0,2.0116
0.1026,-0.2860,0.4257,1,50.99,0.00,2357.32,2408.31,0,4.9093
0.1026,-0.2860,0.4257,1,42.28,0.00,2375.41,2417.69,0,5.1145
0.1026,-0.2860,0.4257,1,21.62,0.00,1457.72,1479.34,0,2.2112
0.1026,-0.2860,0.4257,1,37.29,0.00,1321.34,1358.64,0,1.7534
0.1025,-0.2861,0.4257,1,36.63,0.00,1541.29,1577.92,0,2.7945
0.1027,-0.2859,0.4257,1,41.76,0.00,1898.23,1939.99,0,4.0274
0.1027,-0.2859,0.4257,1,22.04,0.00,475.70,497.73,0,0.1855
0.1027,-0.2859,0.4257,1,27.50,0.00,761.97,789.47,0,0.5222
0.1026,-0.2859,0.4257,1,25.97,0.00,523.58,549.55,0,0.2339
0.1025,-0.2860,0.4257,1,24.48,0.00,1102.77,1127.25,0,1.1444
0.1025,-0.2860,0.4257,1,29.63,0.00,1416.52,1446.15,0,1.6634
0.1025,-0.2860,0.4257,1,39.68,0.00,1379.99,1419.67,0,1.5516
0.1027,-0.2859,0.4257,1,31.24,0.00,1434.91,1466.15,0,1.6796
0.1027,-0.2859,0.4257,1,33.28,0.00,1857.01,1890.29,0,3.2136
0.1027,-0.2859,0.4257,1,44.22,0.00,2154.61,2198.83,0,4.1308
0.1027,-0.2859,0.4257,1,37.71,0.00,1997.33,2035.03,0,3.3268
0.1028,-0.2859,0.4257,1,32.25,0.00,1197.39,1229.64,0,1.5340
0.1028,-0.2859,0.4257,1,42.43,0.00,936.90,979.33,0,0.9038
0.1027,-0.2860,0.4258,1,31.27,0.00,1895.07,1926.33,0,4.2065
0.1027,-0.2860,0.4258,1,24.21,0.00,215.47,239.68,0,0.0308
0.1027,-0.2860,0.4258,1,20.43,0.00,298.52,318.94,0,0.0816
0.1027,-0.2860,0.4258,1,20.40,0.00,298.12,318.52,0,0.0723
0.1027,-0.2860,0.4258,1,34.85,0.00,1554.18,1589.03,0,2.8713
0.1025,-0.2862,0.4258,1,29.82,0.00,1318.61,1348.42,0,1.8995
0.1025,-0.2863,0.4258,1,45.93,0.00,1702.73,1748.66,0,2.5096
0.1028,-0.2860,0.4258,1,35.53,0.00,1612.55,1648.08,0,2.2419
0.1029,-0.2860,0.4258,1,35.96,0.00,2047.04,2083.01,0,4.8159
0.1030,-0.2859,0.4258,1,33.16,0.00,341.93,375.10,0,0.0949
0.1031,-0.2859,0.4259,1,31.72,0.00,176.93,208.64,0,0.0112
0.1024,-0.2865,0.4259,1,21.05,0.00,239.05,260.10,0,0.0297
0.1031,-0.2860,0.4259,1,21.14,0.00,235.61,256.75,0,0.0232
0.1031,-0.2860,0.4259,1,22.27,0.00,616.18,638.46,0,0.3801
0.1032,-0.2859,0.4259,1,21.32,0.00,575.69,597.02,0,0.3101
0.1031,-0.2860,0.4259,1,34.60,0.00,1766.81,1801.41,0,3.6992
0.1034,-0.2859,0.4259,1,28.54,0.00,858.95,887.49,0,0.6717
0.1034,-0.2859,0.4259,1,12.13,0.00,575.92,588.05,0,0.2717
0.1033,-0.2860,0.4260,1,44.13,0.00,1100.39,1144.52,0,1.0893
0.1033,-0.2860,0.4260,1,31.09,0.00,1783.81,1814.90,0,3.3647
0.1025,-0.2867,0.4260,1,42.11,0.00,1332.43,1374.53,0,1.9645
0.1023,-0.2868,0.4260,1,35.24,0.00,1295.62,1330.87,0,1.8039
0.1023,-0.2870,0.4260,1,39.38,0.00,1218.32,1257.70,0,1.6365
0.1035,-0.2859,0.4260,1,16.18,0.00,1141.40,1157.58,0,1.2439
0.1023,-0.2870,0.4261,1,13.97,0.00,675.65,689.63,0,0.3711
0.1035,-0.2861,0.4261,1,22.73,0.00,715.83,738.55,0,0.4824
0.1023,-0.2870,0.4261,1,30.98,0.00,1175.24,1206.22,0,1.3273
0.1035,-0.2860,0.4261,1,50.88,0.00,1731.03,1781.91,0,3.2486
0.1022,-0.2872,0.4261,1,19.19,0.00,276.58,295.77,0,0.0981
0.1022,-0.2872,0.4261,1,20.89,0.00,799.44,820.33,0,0.6624
0.1035,-0.2861,0.4261,1,46.32,0.00,1700.68,1747.00,0,3.4107
0.1035,-0.2861,0.4261,1,25.13,0.00,212.21,237.34,0,0.0321
0.1035,-0.2861,0.4261,1,19.13,0.00,220.37,239.50,0,0.0340
0.1036,-0.2860,0.4262,1,20.09,0.00,217.95,238.03,0,0.0293
0.1022,-0.2873,0.4262,1,22.50,0.00,195.33,217.83,0,0.0271
0.1036,-0.2860,0.4263,1,26.28,0.00,533.36,559.64,0,0.2479
0.1022,-0.2876,0.4263,1,14.57,0.00,533.75,548.32,0,0.2654
0.1021,-0.2877,0.4264,1,34.84,0.00,173.35,208.19,0,0.0187
0.1037,-0.2860,0.4264,1,23.32,0.00,1197.95,1221.27,0,1.6061
0.1037,-0.2859,0.4265,1,40.69,0.00,855.79,896.48,0,0.7802
0.1022,-0.2879,0.4265,1,52.78,0.00,994.10,1046.88,0,1.1497
0.1021,-0.2883,0.4266,1,21.08,0.00,377.97,399.05,0,0.1218
0.1022,-0.2881,0.4266,1,36.65,0.00,1021.14,1057.80,0,1.2033
0.1021,-0.2884,0.4267,1,30.33,0.00,840.33,870.66,0,0.7307
0.1039,-0.2859,0.4268,1,29.38,0.00,736.83,766.21,0,0.4878
0.1021,-0.2887,0.4268,1,31.17,0.00,1259.34,1290.52,0,1.5818
0.1019,-0.2889,0.4269,1,30.45,0.00,696.12,726.58,0,0.3893
0.1020,-0.2889,0.4269,1,21.73,0.00,276.95,298.68,0,0.0492
0.1020,-0.2890,0.4270,1,26.99,0.00,1041.22,1068.21,0,0.9123
0.1040,-0.2858,0.4270,1,30.03,0.00,257.33,287.36,0,0.0611
0.1020,-0.2891,0.4270,1,36.16,0.00,1712.92,1749.08,0,2.2245
0.1021,-0.2894,0.4272,1,20.48,0.00,238.16,258.64,0,0.0174
0.1041,-0.2857,0.4272,1,23.27,0.00,1875.49,1898.76,0,2.7097
0.1020,-0.2895,0.4272,1,39.86,0.00,1338.89,1378.74,0,1.7655
0.1021,-0.2898,0.4274,1,18.15,0.00,460.14,478.29,0,0.1925
0.1042,-0.2857,0.4275,1,31.38,0.00,1297.44,1328.82,0,2.0144
0.1021,-0.2900,0.4275,1,36.89,0.00,2623.11,2660.00,0,6.5141
0.1021,-0.2902,0.4276,1,48.51,0.00,2897.48,2945.99,0,7.8957
0.1019,-0.2907,0.4278,1,29.03,0.00,1297.06,1326.09,0,1.8211
0.1021,-0.2904,0.4278,1,31.50,0.00,1639.62,1671.12,0,2.9785
0.1043,-0.2857,0.4278,1,29.28,0.00,1601.00,1630.28,0,2.8604
0.1019,-0.2910,0.4279,1,47.13,0.00,1320.34,1367.47,0,1.9847
0.1019,-0.2912,0.4280,1,17.43,0.00,200.64,218.07,0,0.0138
0.1019,-0.2914,0.4281,1,40.04,0.00,2439.40,2479.44,0,6.0102
0.1046,-0.2857,0.4283,1,35.25,0.00,1962.03,1997.28,0,3.9430
0.1020,-0.2916,0.4283,1,44.00,0.00,2034.70,2078.70,0,4.2160
0.1020,-0.2917,0.4284,1,24.38,0.00,1473.28,1497.66,0,1.9028
0.1020,-0.2921,0.4285,1,34.52,0.00,1235.92,1270.45,0,1.6416
0.1018,-0.2924,0.4286,1,35.21,0.00,1142.29,1177.50,0,1.5383
0.1020,-0.2923,0.4286,1,32.70,0.00,1276.44,1309.14,0,1.8802
0.1018,-0.2926,0.4287,1,31.94,0.00,1655.42,1687.36,0,2.7000
0.1047,-0.2858,0.4287,1,15.29,0.00,576.73,592.03,0,0.2082
0.1017,-0.2928,0.4288,1,41.67,0.00,1633.17,1674.85,0,2.5582
0.1018,-0.2930,0.4289,1,44.36,0.00,1815.84,1860.20,0,3.9569
0.1049,-0.2857,0.4291,1,28.78,0.00,1958.33,1987.10,0,4.4337
0.1018,-0.2932,0.4291,1,21.34,0.00,376.81,398.15,0,0.1121
0.2505,-0.1510,0.4291,1,34.71,0.00,1216.08,1250.79,0,2.7269
0.2505,-0.1510,0.4291,1,36.48,0.00,1020.01,1056.49,0,0.9315
