x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,30.25,0.00,1183.79,1214.03,0,0.0000
0.1025,-0.2859,0.4256,1,3.14,0.00,106.70,109.84,0,0.0009
0.1025,-0.2859,0.4256,1,5.47,0.00,109.40,114.88,0,0.0006
0.1025,-0.2859,0.4256,1,3.39,0.00,66.55,69.93,0,0.0000
0.1025,-0.2859,0.4256,1,3.25,0.00,64.97,68.23,0,0.0000
0.1025,-0.2859,0.4256,1,3.78,0.00,64.51,68.29,0,0.0000
0.1025,-0.2860,0.4257,1,4.05,0.00,104.27,108.32,0,0.0010
0.1025,-0.2860,0.4257,1,3.63,0.00,64.68,68.31,0,0.0000
0.1025,-0.2860,0.4257,1,3.93,0.00,64.57,68.50,0,0.0000
0.1025,-0.2860,0.4257,1,3.19,0.00,64.63,67.83,0,0.0000
0.1025,-0.2860,0.4257,1,3.37,0.00,65.19,68.55,0,0.0000
0.1026,-0.2859,0.4257,1,3.95,0.00,124.71,128.66,0,0.0020
0.1026,-0.2859,0.4257,1,3.80,0.00,124.59,128.39,0,0.0020
0.1026,-0.2859,0.4257,1,3.99,0.00,64.55,68.54,0,0.0000
0.1026,-0.2859,0.4257,1,4.40,0.00,63.77,68.17,0,0.0000
0.1026,-0.2860,0.4257,1,4.07,0.00,104.00,108.07,0,0.0011
0.1026,-0.2860,0.4257,1,5.86,0.00,103.02,108.88,0,0.0006
0.1026,-0.2860,0.4257,1,3.92,0.00,103.71,107.63,0,0.0006
0.1026,-0.2860,0.4257,1,3.31,0.00,65.46,68.77,0,0.0000
0.1026,-0.2860,0.4257,1,3.87,0.00,64.29,68.16,0,0.0000
0.1027,-0.2859,0.4257,1,3.16,0.00,104.86,108.02,0,0.0015
0.1027,-0.2860,0.4258,1,3.33,0.00,104.47,107.80,0,0.0021
0.1024,-0.2865,0.4259,1,3.29,0.00,165.46,168.75,0,0.0070
0.1032,-0.2859,0.4259,1,4.11,0.00,184.42,188.53,0,0.0104
0.1035,-0.2860,0.4261,1,3.57,0.00,124.54,128.11,0,0.0024
0.1021,-0.2877,0.4264,1,4.01,0.00,225.31,229.32,0,0.0296
0.1021,-0.2894,0.4272,1,4.08,0.00,263.18,267.26,0,0.0224
0.1046,-0.2857,0.4283,1,4.35,0.00,264.44,268.79,0,0.0528
0.1020,-0.2916,0.4283,1,4.17,0.00,322.42,326.59,0,0.0705
0.2505,-0.1510,0.4291,1,5.71,0.00,1184.05,1189.76,0,2.7065
0.1013,-0.2938,0.4292,1,5.80,0.00,1213.49,1219.29,0,2.7256
0.2511,-0.1508,0.4297,1,6.36,0.00,1238.52,1244.88,0,2.7289
0.2512,-0.1498,0.4298,1,3.63,0.00,206.73,210.36,0,0.0114
0.2513,-0.1510,0.4299,1,3.24,0.00,205.26,208.50,0,0.0104
0.2513,-0.1510,0.4299,1,3.34,0.00,65.30,68.65,0,0.0000
0.2513,-0.1510,0.4299,1,4.27,0.00,63.81,68.08,0,0.0000
0.2513,-0.1510,0.4299,1,3.43,0.00,65.37,68.80,0,0.0000
0.2513,-0.1508,0.4299,1,3.34,0.00,104.10,107.44,0,0.0005
0.2513,-0.1508,0.4299,1,3.09,0.00,66.07,69.16,0,0.0000
0.2513,-0.1508,0.4299,1,4.55,0.00,64.09,68.64,0,0.0000
0.2513,-0.1508,0.4299,1,4.17,0.00,103.46,107.64,0,0.0005
0.2513,-0.1508,0.4299,1,3.97,0.00,65.21,69.18,0,0.0000
0.2513,-0.1508,0.4299,1,3.94,0.00,104.49,108.43,0,0.0005
0.2355,-0.2925,0.4300,1,6.19,0.00,1131.25,1137.45,0,1.2430
0.0356,-0.2784,0.4302,1,4.58,0.00,1183.86,1188.44,0,2.5663
0.2376,-0.2928,0.4302,0,5.82,0.00,0.00,5.82,0,0.0000
0.1010,-0.2959,0.4302,1,4.60,0.00,826.01,830.61,0,0.6378
0.0384,-0.3475,0.4303,1,5.41,0.00,764.36,769.76,0,1.2271
0.0707,-0.2575,0.4305,1,4.99,0.00,821.73,826.73,0,1.4558
0.2519,-0.1510,0.4305,1,4.78,0.00,1206.73,1211.50,0,2.8942
0.0705,-0.2580,0.4306,1,5.52,0.00,1211.58,1217.10,0,2.9210
0.1029,-0.2474,0.4307,1,4.68,0.00,503.61,508.29,0,0.4571
0.1029,-0.2474,0.4307,1,3.93,0.00,124.64,128.58,0,0.0015
0.0715,-0.2576,0.4307,1,4.53,0.00,504.61,509.15,0,0.4490
0.1031,-0.2474,0.4307,1,3.50,0.00,503.41,506.91,0,0.4477
0.2514,-0.1476,0.4307,1,5.44,0.00,1104.46,1109.90,0,2.5096
0.1028,-0.2481,0.4308,1,3.59,0.00,1103.16,1106.75,0,2.5339
0.0364,-0.2812,0.4309,1,5.38,0.00,732.52,737.90,0,0.9742
0.0993,-0.2984,0.4309,1,5.23,0.00,823.58,828.81,0,0.6304
0.0898,-0.3046,0.4310,1,5.00,0.00,403.91,408.91,0,0.1656
0.0659,-0.2073,0.4310,1,4.83,0.00,852.19,857.02,0,1.3250
0.0874,-0.3061,0.4310,1,5.23,0.00,843.74,848.96,0,1.3292
0.0927,-0.3030,0.4311,1,4.44,0.00,404.37,408.81,0,0.0473
0.0684,-0.2046,0.4311,1,4.97,0.00,853.02,857.99,0,1.3490
0.0820,-0.3092,0.4311,1,6.81,0.00,871.61,878.42,0,1.4475
0.1363,-0.1317,0.4311,1,5.49,0.00,1133.26,1138.74,0,2.7489
0.1042,-0.2474,0.4311,1,5.31,0.00,912.90,918.21,0,1.8053
0.0638,-0.2106,0.4311,1,5.86,0.00,632.28,638.14,0,0.7326
