x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,9.72,0.00,132.83,142.55,0,0.0100
0.1025,-0.2859,0.4256,1,4.00,0.00,94.77,98.78,0,0.0006
0.1025,-0.2859,0.4256,1,3.96,0.00,54.44,58.40,0,0.0000
0.1025,-0.2859,0.4256,1,68.83,0.00,59.39,128.22,0,0.0000
0.1025,-0.2859,0.4256,1,4.34,0.00,54.21,58.55,0,0.0000
0.1025,-0.2859,0.4256,1,3.67,0.00,54.45,58.12,0,0.0000
0.1025,-0.2859,0.4256,1,3.51,0.00,55.43,58.93,0,0.0000
0.1025,-0.2859,0.4256,1,3.15,0.00,94.82,97.97,0,0.0006
0.1025,-0.2859,0.4256,1,3.98,0.00,94.33,98.31,0,0.0006
0.1025,-0.2859,0.4256,1,3.32,0.00,54.93,58.25,0,0.0000
0.1025,-0.2859,0.4256,1,3.73,0.00,54.35,58.08,0,0.0000
0.1025,-0.2859,0.4256,1,3.78,0.00,54.65,58.43,0,0.0000
0.1025,-0.2859,0.4256,1,3.50,0.00,54.86,58.36,0,0.0000
0.1025,-0.2859,0.4256,1,3.39,0.00,54.67,58.06,0,0.0000
0.1025,-0.2859,0.4256,1,3.67,0.00,55.34,59.02,0,0.0000
0.1025,-0.2859,0.4256,1,3.38,0.00,54.42,57.80,0,0.0000
0.1025,-0.2859,0.4256,1,3.38,0.00,55.16,58.54,0,0.0000
0.1025,-0.2859,0.4256,1,3.61,0.00,54.54,58.15,0,0.0000
0.1025,-0.2859,0.4256,1,3.49,0.00,54.74,58.23,0,0.0000
0.1025,-0.2859,0.4256,1,3.54,0.00,55.44,58.97,0,0.0000
0.1025,-0.2859,0.4256,1,3.31,0.00,54.52,57.84,0,0.0000
0.1025,-0.2859,0.4256,1,3.22,0.00,55.26,58.48,0,0.0000
0.1025,-0.2859,0.4256,1,3.05,0.00,55.38,58.43,0,0.0000
0.1025,-0.2859,0.4256,1,3.25,0.00,55.03,58.27,0,0.0000
0.1025,-0.2859,0.4256,1,3.25,0.00,55.13,58.38,0,0.0000
0.1025,-0.2859,0.4256,1,3.87,0.00,54.50,58.37,0,0.0000
0.1025,-0.2859,0.4256,1,4.02,0.00,54.58,58.61,0,0.0000
0.1025,-0.2859,0.4256,1,3.21,0.00,54.70,57.90,0,0.0000
0.1025,-0.2859,0.4256,1,3.56,0.00,55.00,58.56,0,0.0000
0.1025,-0.2859,0.4256,1,3.77,0.00,54.82,58.60,0,0.0000
0.1025,-0.2859,0.4256,1,3.38,0.00,54.87,58.25,0,0.0000
0.1025,-0.2859,0.4256,1,3.26,0.00,55.36,58.62,0,0.0000
0.1025,-0.2859,0.4256,1,3.90,0.00,54.57,58.47,0,0.0000
0.1025,-0.2859,0.4256,1,4.40,0.00,54.32,58.72,0,0.0000
0.1025,-0.2859,0.4256,1,3.69,0.00,53.90,57.59,0,0.0000
0.1025,-0.2859,0.4256,1,3.87,0.00,55.78,59.65,0,0.0000
0.1025,-0.2859,0.4256,1,3.51,0.00,53.86,57.38,0,0.0000
0.1025,-0.2859,0.4256,1,3.21,0.00,54.94,58.15,0,0.0000
0.1025,-0.2859,0.4256,1,3.93,0.00,54.83,58.76,0,0.0000
0.1025,-0.2859,0.4256,1,3.62,0.00,54.58,58.20,0,0.0000
