x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,6.32,0.00,1364.00,1370.32,0,2.0279
0.1025,-0.2859,0.4256,1,4.10,0.00,162.79,166.89,0,0.0000
0.1025,-0.2859,0.4256,1,3.83,0.00,164.41,168.24,0,0.0000
0.1025,-0.2859,0.4256,1,4.68,0.00,163.22,167.90,0,0.0000
0.1025,-0.2859,0.4256,1,3.64,0.00,164.94,168.58,0,0.0000
0.1025,-0.2859,0.4256,1,3.79,0.00,163.66,167.45,0,0.0000
0.1025,-0.2860,0.4257,1,3.91,0.00,165.70,169.60,0,0.0000
0.1025,-0.2860,0.4257,1,3.82,0.00,163.45,167.27,0,0.0000
0.1025,-0.2860,0.4257,1,4.25,0.00,164.01,168.27,0,0.0000
0.1025,-0.2860,0.4257,1,3.89,0.00,165.16,169.05,0,0.0000
0.1025,-0.2860,0.4257,1,3.74,0.00,164.24,167.98,0,0.0000
0.1026,-0.2859,0.4257,1,3.70,0.00,164.16,167.86,0,0.0000
0.1026,-0.2859,0.4257,1,3.77,0.00,165.02,168.80,0,0.0000
0.1026,-0.2859,0.4257,1,3.91,0.00,164.28,168.19,0,0.0000
0.1026,-0.2859,0.4257,1,3.88,0.00,164.36,168.24,0,0.0000
0.1026,-0.2860,0.4257,1,3.62,0.00,163.98,167.60,0,0.0000
0.1026,-0.2860,0.4257,1,4.49,0.00,163.65,168.13,0,0.0000
0.1026,-0.2860,0.4257,1,3.85,0.00,164.53,168.38,0,0.0000
0.1026,-0.2860,0.4257,1,4.55,0.00,163.94,168.49,0,0.0000
0.1026,-0.2860,0.4257,1,3.95,0.00,164.67,168.62,0,0.0000
0.1027,-0.2859,0.4257,1,4.63,0.00,163.39,168.01,0,0.0000
0.1027,-0.2860,0.4258,1,3.96,0.00,165.11,169.07,0,0.0000
0.1024,-0.2865,0.4259,1,3.68,0.00,144.45,148.13,0,0.0051
0.1032,-0.2859,0.4259,1,3.56,0.00,144.00,147.56,0,0.0060
0.1035,-0.2860,0.4261,1,3.67,0.00,164.56,168.24,0,0.0000
0.1021,-0.2877,0.4264,1,4.54,0.00,204.07,208.62,0,0.0184
0.1021,-0.2894,0.4272,1,4.28,0.00,224.41,228.70,0,0.0200
0.1046,-0.2857,0.4283,1,5.58,0.00,302.33,307.90,0,0.0558
0.1020,-0.2916,0.4283,1,3.75,0.00,325.31,329.06,0,0.0718
0.2505,-0.1510,0.4291,1,5.15,0.00,1343.25,1348.40,0,2.1422
0.1013,-0.2938,0.4292,1,5.29,0.00,1362.39,1367.67,0,2.1572
0.2511,-0.1508,0.4297,1,4.77,0.00,1364.50,1369.26,0,2.1585
0.2512,-0.1498,0.4298,1,3.32,0.00,164.67,167.99,0,0.0080
0.2513,-0.1510,0.4299,1,3.80,0.00,184.34,188.13,0,0.0092
0.2513,-0.1510,0.4299,1,3.25,0.00,165.18,168.43,0,0.0000
0.2513,-0.1510,0.4299,1,3.51,0.00,164.60,168.11,0,0.0000
0.2513,-0.1510,0.4299,1,3.30,0.00,165.39,168.69,0,0.0000
0.2513,-0.1508,0.4299,1,3.55,0.00,165.39,168.95,0,0.0000
0.2513,-0.1508,0.4299,1,3.76,0.00,163.81,167.57,0,0.0000
0.2513,-0.1508,0.4299,1,3.50,0.00,165.38,168.87,0,0.0000
0.2513,-0.1508,0.4299,1,3.68,0.00,164.07,167.76,0,0.0000
0.2513,-0.1508,0.4299,1,3.43,0.00,165.05,168.48,0,0.0000
0.2513,-0.1508,0.4299,1,3.39,0.00,165.26,168.64,0,0.0000
