x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1025,-0.2858,0.4256,1,10.42,0.00,2302.13,2312.55,0,3.6448
0.1025,-0.2859,0.4256,1,4.98,0.00,153.17,158.15,0,0.0000
0.1025,-0.2859,0.4256,1,4.15,0.00,154.89,159.04,0,0.0000
0.1025,-0.2859,0.4256,1,3.85,0.00,154.00,157.86,0,0.0000
0.1025,-0.2859,0.4256,1,3.84,0.00,154.37,158.21,0,0.0000
0.1025,-0.2859,0.4256,1,3.98,0.00,154.91,158.89,0,0.0000
0.1025,-0.2859,0.4256,1,3.48,0.00,154.20,157.68,0,0.0000
0.1025,-0.2859,0.4256,1,3.37,0.00,154.45,157.82,0,0.0000
0.1025,-0.2859,0.4256,1,3.76,0.00,154.97,158.72,0,0.0000
0.1025,-0.2859,0.4256,1,3.25,0.00,154.65,157.90,0,0.0000
0.1025,-0.2859,0.4256,1,3.30,0.00,155.16,158.45,0,0.0000
0.1025,-0.2859,0.4256,1,3.34,0.00,155.25,158.59,0,0.0000
0.1025,-0.2859,0.4256,1,4.16,0.00,154.45,158.62,0,0.0000
0.1025,-0.2859,0.4256,1,4.80,0.00,153.31,158.11,0,0.0000
0.1025,-0.2859,0.4256,1,3.99,0.00,155.10,159.09,0,0.0000
0.1025,-0.2859,0.4256,1,3.99,0.00,153.21,157.19,0,0.0000
0.1025,-0.2859,0.4256,1,3.85,0.00,154.43,158.29,0,0.0000
0.1025,-0.2859,0.4256,1,3.43,0.00,155.00,158.44,0,0.0000
0.1025,-0.2859,0.4256,1,3.63,0.00,155.05,158.68,0,0.0000
0.1025,-0.2859,0.4256,1,3.63,0.00,154.59,158.22,0,0.0000
0.1025,-0.2859,0.4256,1,4.40,0.00,153.23,157.63,0,0.0000
0.1025,-0.2859,0.4256,1,3.23,0.00,155.52,158.76,0,0.0000
0.1025,-0.2859,0.4256,1,4.14,0.00,154.42,158.56,0,0.0000
0.1025,-0.2859,0.4256,1,3.55,0.00,154.84,158.39,0,0.0000
0.1025,-0.2859,0.4256,1,4.32,0.00,153.98,158.29,0,0.0000
0.1025,-0.2859,0.4256,1,3.39,0.00,155.13,158.53,0,0.0000
0.1025,-0.2859,0.4256,1,3.32,0.00,155.73,159.05,0,0.0000
0.1025,-0.2859,0.4256,1,3.73,0.00,154.35,158.08,0,0.0000
0.1025,-0.2859,0.4256,1,4.70,0.00,153.24,157.95,0,0.0000
0.1025,-0.2859,0.4256,1,3.51,0.00,155.02,158.53,0,0.0000
0.1025,-0.2859,0.4256,1,3.20,0.00,155.21,158.41,0,0.0000
0.1025,-0.2859,0.4256,1,3.56,0.00,154.46,158.02,0,0.0000
0.1025,-0.2859,0.4256,1,3.75,0.00,154.58,158.33,0,0.0000
0.1025,-0.2859,0.4256,1,3.50,0.00,156.27,159.77,0,0.0000
0.1025,-0.2859,0.4256,1,4.65,0.00,162.29,166.93,0,0.0000
0.1025,-0.2859,0.4256,1,4.29,0.00,155.46,159.76,0,0.0000
0.1025,-0.2859,0.4256,1,3.50,0.00,154.03,157.53,0,0.0000
0.1025,-0.2859,0.4256,1,3.89,0.00,154.69,158.57,0,0.0000
0.1025,-0.2859,0.4256,1,3.67,0.00,154.84,158.51,0,0.0000
0.1025,-0.2859,0.4256,1,4.86,0.00,154.55,159.41,0,0.0000
0.1025,-0.2859,0.4256,1,3.88,0.00,153.97,157.85,0,0.0000
0.1025,-0.2859,0.4256,1,3.35,0.00,154.73,158.08,0,0.0000
0.1025,-0.2859,0.4256,1,3.62,0.00,155.11,158.73,0,0.0000
0.1025,-0.2859,0.4256,1,3.64,0.00,154.09,157.72,0,0.0000
0.1025,-0.2859,0.4256,1,3.94,0.00,155.64,159.58,0,0.0000
0.1025,-0.2859,0.4256,1,4.48,0.00,163.14,167.62,0,0.0000
0.1025,-0.2859,0.4256,1,3.81,0.00,154.88,158.68,0,0.0000
0.1025,-0.2859,0.4256,1,3.46,0.00,154.65,158.11,0,0.0000
0.1025,-0.2859,0.4256,1,3.17,0.00,154.50,157.67,0,0.0000
0.1025,-0.2859,0.4256,1,3.59,0.00,154.71,158.30,0,0.0000
0.1025,-0.2859,0.4256,1,3.86,0.00,155.22,159.08,0,0.0000
0.1025,-0.2859,0.4256,1,4.01,0.00,154.34,158.35,0,0.0000
0.1025,-0.2859,0.4256,1,4.36,0.00,153.63,157.99,0,0.0000
0.1025,-0.2859,0.4256,1,3.72,0.00,155.46,159.18,0,0.0000
0.1025,-0.2859,0.4256,1,3.48,0.00,153.63,157.11,0,0.0000
0.1025,-0.2859,0.4256,1,3.78,0.00,155.10,158.88,0,0.0000
0.1025,-0.2859,0.4256,1,4.00,0.00,154.28,158.28,0,0.0000
0.1025,-0.2859,0.4256,1,2.40,0.00,156.07,158.46,0,0.0000
0.1025,-0.2859,0.4256,1,3.45,0.00,154.54,157.99,0,0.0000
0.1025,-0.2859,0.4256,1,3.33,0.00,155.09,158.42,0,0.0000
0.1025,-0.2859,0.4256,1,3.71,0.00,154.84,158.54,0,0.0000
0.1025,-0.2859,0.4256,1,3.66,0.00,154.30,157.96,0,0.0000
0.1025,-0.2859,0.4256,1,3.51,0.00,155.17,158.68,0,0.0000
0.1025,-0.2859,0.4256,1,3.58,0.00,155.03,158.61,0,0.0000
0.1025,-0.2859,0.4256,1,3.87,0.00,154.55,158.42,0,0.0000
0.1025,-0.2859,0.4256,1,3.36,0.00,154.84,158.20,0,0.0000
0.1025,-0.2859,0.4256,1,6.66,0.00,161.99,168.65,0,0.0000
0.1025,-0.2859,0.4256,1,3.73,0.00,154.84,158.57,0,0.0000
0.1025,-0.2859,0.4256,1,3.68,0.00,154.03,157.71,0,0.0000
0.1025,-0.2859,0.4256,1,3.36,0.00,154.69,158.05,0,0.0000
0.1025,-0.2859,0.4256,1,3.85,0.00,154.70,158.56,0,0.0000
0.1025,-0.2859,0.4256,1,3.35,0.00,155.46,158.82,0,0.0000
0.1025,-0.2859,0.4256,1,3.94,0.00,153.75,157.70,0,0.0000
0.1025,-0.2859,0.4256,1,3.54,0.00,154.98,158.52,0,0.0000
0.1025,-0.2859,0.4256,1,3.49,0.00,155.18,158.67,0,0.0000
0.1025,-0.2860,0.4257,1,3.21,0.00,155.54,158.76,0,0.0000
0.1025,-0.2860,0.4257,1,3.33,0.00,155.61,158.94,0,0.0000
0.1025,-0.2860,0.4257,1,3.54,0.00,163.58,167.12,0,0.0000
0.1025,-0.2860,0.4257,1,4.29,0.00,165.23,169.52,0,0.0000
0.1025,-0.2860,0.4257,1,3.58,0.00,163.47,167.06,0,0.0000
0.1025,-0.2860,0.4257,1,3.70,0.00,154.68,158.38,0,0.0000
0.1025,-0.2860,0.4257,1,2.50,0.00,156.01,158.51,0,0.0000
0.1025,-0.2860,0.4257,1,3.23,0.00,155.01,158.24,0,0.0000
0.1025,-0.2860,0.4257,1,3.53,0.00,155.66,159.19,0,0.0000
0.1025,-0.2860,0.4257,1,3.36,0.00,154.93,158.29,0,0.0000
0.1025,-0.2860,0.4257,1,3.55,0.00,154.16,157.71,0,0.0000
0.1025,-0.2860,0.4257,1,3.55,0.00,155.64,159.20,0,0.0000
0.1025,-0.2860,0.4257,1,4.19,0.00,164.79,168.98,0,0.0000
0.1025,-0.2860,0.4257,1,3.67,0.00,163.68,167.35,0,0.0000
0.1025,-0.2860,0.4257,1,3.68,0.00,164.37,168.05,0,0.0000
0.1025,-0.2860,0.4257,1,4.03,0.00,164.29,168.33,0,0.0000
0.1025,-0.2860,0.4257,1,3.76,0.00,154.34,158.10,0,0.0000
0.1025,-0.2860,0.4257,1,3.75,0.00,154.96,158.71,0,0.0000
0.1025,-0.2860,0.4257,1,3.31,0.00,155.96,159.28,0,0.0000
0.1025,-0.2860,0.4257,1,3.03,0.00,163.99,167.02,0,0.0000
0.1025,-0.2860,0.4257,1,3.96,0.00,164.53,168.49,0,0.0000
0.1025,-0.2860,0.4257,1,3.51,0.00,155.02,158.53,0,0.0000
0.1025,-0.2860,0.4257,1,3.07,0.00,155.59,158.66,0,0.0000
0.1025,-0.2860,0.4257,1,3.19,0.00,165.08,168.27,0,0.0000
0.1025,-0.2860,0.4257,1,3.77,0.00,164.37,168.14,0,0.0000
0.1025,-0.2860,0.4257,1,3.96,0.00,164.05,168.01,0,0.0000
0.1025,-0.2860,0.4257,1,4.03,0.00,164.41,168.44,0,0.0000
0.1025,-0.2860,0.4257,1,4.45,0.00,164.21,168.66,0,0.0000
0.1025,-0.2860,0.4257,1,4.90,0.00,163.96,168.86,0,0.0000
0.1025,-0.2860,0.4257,1,2.41,0.00,156.46,158.87,0,0.0000
0.1025,-0.2860,0.4257,1,3.56,0.00,163.85,167.41,0,0.0000
0.1025,-0.2860,0.4257,1,3.27,0.00,155.12,158.39,0,0.0000
0.1025,-0.2860,0.4257,1,3.51,0.00,164.92,168.43,0,0.0000
0.1025,-0.2860,0.4257,1,3.21,0.00,155.68,158.89,0,0.0000
0.1025,-0.2860,0.4257,1,4.05,0.00,163.83,167.88,0,0.0000
0.1025,-0.2860,0.4257,1,3.81,0.00,163.88,167.68,0,0.0000
0.1025,-0.2860,0.4257,1,3.97,0.00,165.00,168.97,0,0.0000
0.1025,-0.2860,0.4257,1,3.49,0.00,164.28,167.77,0,0.0000
0.1025,-0.2860,0.4257,1,3.66,0.00,164.61,168.27,0,0.0000
0.1025,-0.2860,0.4257,1,4.08,0.00,163.71,167.78,0,0.0000
0.1025,-0.2860,0.4257,1,3.46,0.00,155.00,158.46,0,0.0000
0.1025,-0.2860,0.4257,1,3.56,0.00,156.18,159.74,0,0.0000
0.1025,-0.2860,0.4257,1,3.62,0.00,163.25,166.88,0,0.0000
0.1025,-0.2860,0.4257,1,4.32,0.00,164.32,168.64,0,0.0000
0.1025,-0.2860,0.4257,1,3.78,0.00,164.42,168.20,0,0.0000
0.1025,-0.2860,0.4257,1,3.87,0.00,165.88,169.75,0,0.0000
0.1025,-0.2860,0.4257,1,3.87,0.00,162.98,166.85,0,0.0000
0.1025,-0.2860,0.4257,1,2.93,0.00,155.70,158.63,0,0.0000
0.1025,-0.2860,0.4257,1,3.65,0.00,165.33,168.98,0,0.0000
0.1025,-0.2860,0.4257,1,4.60,0.00,163.13,167.74,0,0.0000
0.1025,-0.2860,0.4257,1,3.14,0.00,155.60,158.74,0,0.0000
0.1025,-0.2860,0.4257,1,3.41,0.00,164.65,168.06,0,0.0000
0.1025,-0.2860,0.4257,1,3.18,0.00,165.21,168.39,0,0.0000
0.1025,-0.2860,0.4257,1,2.95,0.00,165.20,168.15,0,0.0000
0.1025,-0.2860,0.4257,1,3.84,0.00,164.43,168.27,0,0.0000
0.1025,-0.2860,0.4257,1,3.15,0.00,165.61,168.76,0,0.0000
0.1025,-0.2860,0.4257,1,3.09,0.00,167.04,170.13,0,0.0000
0.1025,-0.2860,0.4257,1,3.99,0.00,162.23,166.22,0,0.0000
0.1025,-0.2860,0.4257,1,3.25,0.00,164.65,167.90,0,0.0000
0.1025,-0.2860,0.4257,1,3.25,0.00,164.97,168.22,0,0.0000
0.1025,-0.2860,0.4257,1,3.33,0.00,165.44,168.77,0,0.0000
0.1025,-0.2860,0.4257,1,3.78,0.00,164.19,167.97,0,0.0000
0.1026,-0.2859,0.4257,1,4.50,0.00,163.48,167.98,0,0.0000
0.1026,-0.2859,0.4257,1,3.45,0.00,165.63,169.08,0,0.0000
0.1026,-0.2859,0.4257,1,5.48,0.00,162.06,167.54,0,0.0000
0.1026,-0.2859,0.4257,1,3.36,0.00,165.82,169.17,0,0.0000
0.1026,-0.2859,0.4257,1,3.30,0.00,164.19,167.49,0,0.0000
0.1026,-0.2859,0.4257,1,3.35,0.00,165.09,168.43,0,0.0000
0.1026,-0.2859,0.4257,1,3.25,0.00,165.07,168.32,0,0.0000
0.1026,-0.2859,0.4257,1,3.80,0.00,164.08,167.88,0,0.0000
0.1026,-0.2859,0.4257,1,3.56,0.00,164.97,168.53,0,0.0000
0.1026,-0.2859,0.4257,1,4.27,0.00,165.75,170.02,0,0.0000
0.1026,-0.2859,0.4257,1,3.22,0.00,163.25,166.47,0,0.0000
0.1026,-0.2859,0.4257,1,3.41,0.00,164.93,168.35,0,0.0000
0.1026,-0.2859,0.4257,1,3.51,0.00,165.00,168.51,0,0.0000
0.1026,-0.2859,0.4257,1,3.79,0.00,164.53,168.32,0,0.0000
0.1026,-0.2859,0.4257,1,4.06,0.00,163.75,167.81,0,0.0000
0.1026,-0.2859,0.4257,1,3.92,0.00,165.51,169.42,0,0.0000
0.1026,-0.2859,0.4257,1,4.25,0.00,163.36,167.61,0,0.0000
0.1026,-0.2859,0.4257,1,3.42,0.00,166.23,169.65,0,0.0000
0.1026,-0.2859,0.4257,1,3.44,0.00,163.31,166.75,0,0.0000
0.1026,-0.2859,0.4257,1,3.77,0.00,165.13,168.90,0,0.0000
0.1026,-0.2859,0.4257,1,3.54,0.00,166.37,169.90,0,0.0000
0.1026,-0.2859,0.4257,1,4.99,0.00,162.07,167.06,0,0.0000
0.1026,-0.2859,0.4257,1,3.52,0.00,165.21,168.73,0,0.0000
0.1026,-0.2859,0.4257,1,3.88,0.00,163.59,167.47,0,0.0000
0.1026,-0.2859,0.4257,1,3.69,0.00,164.71,168.40,0,0.0000
0.1026,-0.2859,0.4257,1,3.88,0.00,164.87,168.75,0,0.0000
0.1026,-0.2859,0.4257,1,3.72,0.00,163.99,167.70,0,0.0000
0.1026,-0.2859,0.4257,1,4.09,0.00,164.29,168.38,0,0.0000
0.1026,-0.2859,0.4257,1,3.58,0.00,164.94,168.52,0,0.0000
0.1026,-0.2859,0.4257,1,4.06,0.00,163.77,167.84,0,0.0000
0.1026,-0.2859,0.4257,1,3.49,0.00,165.77,169.26,0,0.0000
0.1026,-0.2859,0.4257,1,4.55,0.00,163.17,167.72,0,0.0000
0.1026,-0.2859,0.4257,1,4.42,0.00,163.82,168.24,0,0.0000
0.1026,-0.2859,0.4257,1,4.17,0.00,164.34,168.51,0,0.0000
0.1026,-0.2859,0.4257,1,4.03,0.00,165.49,169.52,0,0.0000
0.1026,-0.2860,0.4257,1,3.54,0.00,164.40,167.94,0,0.0000
0.1026,-0.2860,0.4257,1,4.40,0.00,163.12,167.52,0,0.0000
0.1026,-0.2860,0.4257,1,4.66,0.00,164.24,168.90,0,0.0000
0.1026,-0.2860,0.4257,1,3.58,0.00,163.16,166.74,0,0.0000
0.1026,-0.2860,0.4257,1,4.83,0.00,163.87,168.71,0,0.0000
0.1026,-0.2860,0.4257,1,3.70,0.00,164.40,168.11,0,0.0000
0.1026,-0.2860,0.4257,1,3.61,0.00,165.15,168.76,0,0.0000
