x,y,z,success,planning_ms,execution_ms,total_ms
-0.2500,-0.1500,0.3500,1,517.98,0.43,518.41
-0.1500,-0.3500,0.3500,1,522.77,0.18,522.95
-0.1500,-0.2500,0.3500,1,530.14,0.39,530.53
-0.1500,-0.0500,0.3500,1,528.43,0.39,528.83
-0.0500,-0.3500,0.3500,1,516.00,0.39,516.40
-0.0500,-0.2500,0.3500,1,519.00,0.42,519.42
-0.0500,-0.1500,0.3500,1,520.67,0.36,521.03
0.0500,-0.3500,0.3500,1,525.44,0.34,525.77
0.0500,-0.2500,0.3500,1,516.95,0.35,517.31
0.0500,-0.1500,0.3500,1,513.11,0.34,513.45
0.1500,-0.2500,0.3500,1,525.28,0.12,525.40
0.1500,-0.0500,0.3500,1,523.66,0.35,524.01
-0.3500,-0.1500,0.4500,1,520.27,0.38,520.64
-0.2500,-0.3500,0.4500,1,515.73,0.43,516.17
-0.2500,-0.2500,0.4500,1,531.04,0.33,531.37
-0.1500,-0.4500,0.4500,1,523.28,0.21,523.49
-0.1500,-0.3500,0.4500,1,527.51,0.35,527.86
-0.1500,-0.2500,0.4500,1,532.00,0.19,532.19
-0.1500,-0.0500,0.4500,1,531.92,0.34,532.26
-0.0500,-0.4500,0.4500,1,518.24,0.42,518.66
0.0500,-0.4500,0.4500,1,519.19,0.17,519.36
0.0500,-0.3500,0.4500,1,519.29,0.19,519.48
0.0500,-0.2500,0.4500,1,529.82,0.13,529.94
0.1500,-0.4500,0.4500,1,527.44,0.36,527.80
0.2500,-0.3500,0.4500,1,516.47,0.34,516.81
0.2500,-0.2500,0.4500,1,520.29,0.41,520.70
0.3500,-0.1500,0.4500,1,513.70,0.37,514.07
-0.3500,-0.3500,0.5500,1,517.66,0.40,518.06
-0.3500,-0.2500,0.5500,1,527.38,0.36,527.74
-0.3500,-0.1500,0.5500,1,525.96,0.34,526.30
-0.3500,-0.0500,0.5500,1,526.71,0.24,526.94
-0.2500,-0.4500,0.5500,1,512.73,0.32,513.05
-0.2500,-0.3500,0.5500,1,520.92,0.48,521.40
-0.2500,-0.2500,0.5500,1,532.11,0.36,532.47
-0.2500,-0.1500,0.5500,1,520.56,0.44,521.00
-0.2500,-0.0500,0.5500,1,65.47,3492.18,3557.65
-0.2500,0.0500,0.5500,1,48.90,1339.61,1388.51
-0.1500,-0.4500,0.5500,1,527.07,0.41,527.48
-0.1500,-0.3500,0.5500,1,524.61,0.18,524.79
-0.1500,-0.2500,0.5500,1,511.74,0.34,512.09
-0.1500,-0.1500,0.5500,1,41.54,1934.90,1976.44
-0.1500,-0.0500,0.5500,1,46.86,1881.64,1928.50
-0.1500,0.0500,0.5500,1,43.85,1534.75,1578.60
-0.0500,-0.4500,0.5500,1,530.47,0.34,530.80
-0.0500,-0.3500,0.5500,1,531.19,0.95,532.14
-0.0500,-0.2500,0.5500,1,523.53,0.33,523.86
0.0500,-0.4500,0.5500,1,531.86,0.34,532.20
0.0500,-0.3500,0.5500,1,518.63,0.38,519.01
0.1500,-0.4500,0.5500,1,525.57,0.36,525.93
0.1500,-0.3500,0.5500,1,523.63,0.36,523.99
0.1500,-0.2500,0.5500,1,513.56,0.12,513.68
0.1500,-0.1500,0.5500,1,54.32,3321.02,3375.34
0.2500,-0.4500,0.5500,1,531.67,0.49,532.16
0.2500,-0.3500,0.5500,1,517.44,0.12,517.56
0.2500,-0.2500,0.5500,1,521.04,0.35,521.39
0.2500,-0.1500,0.5500,1,533.79,0.40,534.18
0.2500,-0.0500,0.5500,1,37.29,1640.29,1677.58
0.3500,-0.3500,0.5500,1,536.67,0.33,537.00
0.3500,-0.2500,0.5500,1,514.71,0.36,515.07
0.3500,-0.1500,0.5500,1,532.14,0.45,532.59
0.3500,-0.0500,0.5500,1,517.80,0.34,518.14
-0.3500,-0.2500,0.6500,1,532.01,0.40,532.41
-0.3500,-0.0500,0.6500,1,66.27,3380.30,3446.57
-0.2500,-0.4500,0.6500,1,529.46,0.41,529.87
-0.2500,-0.3500,0.6500,1,527.65,0.34,527.99
-0.2500,-0.2500,0.6500,1,532.23,0.32,532.55
-0.2500,-0.1500,0.6500,1,48.06,1794.17,1842.23
-0.1500,-0.5500,0.6500,1,532.16,0.15,532.32
-0.1500,-0.4500,0.6500,1,526.78,0.33,527.11
-0.1500,-0.3500,0.6500,1,519.15,0.12,519.27
-0.1500,-0.2500,0.6500,1,532.23,0.33,532.56
-0.1500,-0.1500,0.6500,1,53.61,1478.64,1532.24
-0.1500,-0.0500,0.6500,1,29.27,2238.72,2267.99
-0.1500,0.0500,0.6500,1,43.55,2175.64,2219.18
-0.0500,-0.5500,0.6500,1,522.99,0.34,523.33
-0.0500,-0.4500,0.6500,1,522.43,0.13,522.56
-0.0500,-0.3500,0.6500,1,523.01,0.35,523.36
0.0500,-0.4500,0.6500,1,517.39,0.32,517.71
0.0500,-0.3500,0.6500,1,513.79,0.15,513.94
0.1500,-0.5500,0.6500,1,523.69,0.32,524.01
0.1500,-0.4500,0.6500,1,517.35,0.36,517.71
0.1500,-0.3500,0.6500,1,520.65,0.35,521.00
0.1500,-0.2500,0.6500,1,537.19,0.37,537.56
0.1500,-0.1500,0.6500,1,58.13,4376.56,4434.69
0.1500,0.0500,0.6500,1,44.02,2055.04,2099.06
0.2500,-0.4500,0.6500,1,535.85,0.35,536.20
0.2500,-0.3500,0.6500,1,526.58,0.36,526.94
0.2500,-0.2500,0.6500,1,521.89,0.78,522.67
0.2500,-0.1500,0.6500,1,30.89,1997.57,2028.45
0.2500,-0.0500,0.6500,1,42.20,1654.91,1697.10
0.3500,-0.3500,0.6500,1,520.88,0.41,521.29
0.3500,-0.2500,0.6500,1,522.96,0.39,523.35
0.3500,-0.1500,0.6500,1,520.97,0.41,521.38
0.3500,-0.0500,0.6500,1,64.17,1673.01,1737.18
0.3500,0.0500,0.6500,1,41.52,1336.30,1377.82
-0.3500,-0.3500,0.7500,1,43.52,3634.73,3678.26
